 	devo	pulire	l	albero	</S>
è	0.701774745	0.0997494579	0.042425535187	0.0700274819207	0.0860228319177
n	0.589216644333	0.227963368167	0.0502116205423	0.059712285131	0.0728961240198
a	0.400639948244	0.404379973389	0.0650197455541	0.0532069970943	0.0767533391397
k	0.238481728215	0.470675361796	0.124710399018	0.0644437634128	0.101688687825
a	0.153437764938	0.437435852599	0.205272654806	0.0761344910683	0.127719166738
t	0.111713780919	0.429073621533	0.193069357202	0.153694276367	0.11244897293
à	0.076681138513	0.386684275644	0.182098353267	0.229794185042	0.124742040657
r	0.062621431371	0.329259757215	0.234771859022	0.218874341247	0.154472538032
o	0.0483538783903	0.278689407758	0.289446641941	0.229849817382	0.153660188857
t	0.0409252275808	0.180154549806	0.34295299658	0.294731107114	0.141236104119
o	0.0340246905576	0.112009954155	0.347549088193	0.331862591958	0.174553640606
n	0.0255582525872	0.0647771914383	0.264029832398	0.389079612653	0.256555032202
à	0.0176589386297	0.0495924724061	0.165398149466	0.481833780218	0.285516655534
r	0.0150201287352	0.0430642395487	0.128428879822	0.517298754739	0.296188042111
b	0.0286449232211	0.0272949383196	0.157544656541	0.509355248913	0.27716023739
u	0.0326988841784	0.0223859166879	0.147666046914	0.446396028304	0.350853192017
r	0.0283366471848	0.028123980934	0.0958399685113	0.418892017435	0.428807474006
o	0.0292943198956	0.033125371918	0.0772723876438	0.407242555812	0.453065332002
</S>	0.0225827157728	0.031596316559	0.0636549929219	0.376884834906	0.505281034001
