 	vogliono	girate	</S>
t	0.724571378	0.15708629712	0.118342364754
è	0.722307196	0.16188338396	0.115809420273
l	0.705743033333	0.145531618373	0.148725325246
u	0.606868363778	0.186177040004	0.206954499168
n	0.444015037259	0.283497521001	0.272487378969
e	0.287404408553	0.381066062	0.331529552056
v	0.173824515318	0.493333009333	0.332842454419
o	0.118429589639	0.499879650444	0.381690716806
t	0.078885187253	0.515969141481	0.405145708269
i	0.0541858417243	0.52070463516	0.425109599423
m	0.0426082617081	0.478163398387	0.479228379141
m	0.049179614036	0.425526498129	0.525293909047
è	0.058861146054	0.366345457376	0.574793443016
n	0.0703819061667	0.354573539525	0.575044653672
e	0.0718498530956	0.336698585575	0.591451647891
</S>	0.0565158062478	0.332685213787	0.610799039945
