 	hai	già	mangiato	</S>
è	0.745766289	0.08772787754	0.0754126906054	0.0910930997644
c	0.624085103	0.18739801138	0.0915958999941	0.0969209267097
h	0.489623442333	0.280070289127	0.12109835993	0.109207874547
i	0.343076169378	0.369521063042	0.164311725109	0.123091014671
g	0.212694871726	0.453658282347	0.179936567036	0.153710296104
i	0.155335202909	0.411823154782	0.269264616212	0.163577060701
à	0.0760372763697	0.277476652927	0.494598014071	0.1518880653
f	0.0474421145566	0.157769831376	0.631199347357	0.163588775033
a	0.0461992809055	0.104769030972	0.594829363786	0.254202403278
m	0.0652730961418	0.0957391846373	0.513122836595	0.325864897093
è	0.0725769301606	0.0938087915458	0.515744094198	0.317870165698
n	0.0461782938562	0.0717886321819	0.574960420066	0.307072646566
a	0.0330265603681	0.062151287194	0.475354385355	0.429467800855
</S>	0.032116224544	0.055153553497	0.355645172678	0.557085105428
