 	io	non	ho	cosa	da	mangiare	</S>
e	0.656433194	0.13521399667	0.0420769156666	0.0364608549457	0.0425793768593	0.043467222608	0.0437684829331
v	0.588263208	0.11956223047	0.0593255955029	0.0475452363445	0.0546298034042	0.0606314520387	0.0700424935165
ò	0.437972702667	0.235414315423	0.0832132518876	0.0507653039325	0.0539957400999	0.0633716891261	0.0752670255143
e	0.280480873556	0.402570865141	0.111987335683	0.0533925972018	0.0487315054968	0.0479390627758	0.0548978104242
n	0.164885300452	0.357817414914	0.242701916094	0.0774014126739	0.0506698282439	0.0469547166086	0.0595693719915
è	0.116906745571	0.271613083705	0.357373050031	0.0993683198246	0.049118333928	0.0463294563241	0.059290959487
c	0.094695181077	0.205651890502	0.350194533677	0.156373912742	0.0686395449627	0.0592797851012	0.0651651426824
h	0.0670268781123	0.115228187014	0.313861731559	0.279615677581	0.0864933624209	0.0670570947744	0.0707170398968
o	0.0479505156574	0.0718532599847	0.24187958812	0.37847158386	0.133346862074	0.0567324690688	0.0697656398856
t	0.0283765740458	0.0399269424516	0.162753358507	0.40841374262	0.193750776425	0.0584216909696	0.108356885582
i	0.0196315085553	0.0274001845539	0.099872444169	0.31959178374	0.284728624875	0.0833182742032	0.165457141394
è	0.0155524568902	0.0218833722276	0.0557484583897	0.186957740313	0.403355378625	0.138929519734	0.177572939045
n	0.0184088263659	0.0219626251569	0.0409850583432	0.129215437591	0.423069572208	0.196847855645	0.169510527142
a	0.0201399125158	0.0214841475742	0.0310201046631	0.0817934243637	0.310430518403	0.360242846815	0.174888963127
f	0.0211853769091	0.0144714440307	0.024864082995	0.0545796535779	0.193173069268	0.493535065605	0.198191200709
à	0.0225651854891	0.015158669417	0.023876450777	0.0477417858693	0.152349482089	0.518938585202	0.21936976457
o	0.0150904248362	0.0169263218094	0.0168069382943	0.0304280220831	0.110497460396	0.538872949067	0.27137790319
</S>	0.0109017026799	0.0152450485533	0.0124680143902	0.0221737015815	0.085992737448	0.527443056533	0.325775815595
