 	mio	fratello	non	mi	ha	mai	scritto	una	lettera	</S>
a	0.642590733	0.15303559858	0.0282500560493	0.0242650500484	0.0239067281104	0.0229712249938	0.0236646961446	0.0255098176822	0.0299217136061	0.0258842547203
d	0.532822605667	0.206891891973	0.034713003495	0.026317471116	0.0297301655439	0.0298790954379	0.0289978122308	0.0323622359746	0.039288376808	0.038997254569
r	0.485451345489	0.206437189524	0.0434215933837	0.029537433826	0.0393529505239	0.038261516857	0.0320025170591	0.0374345208845	0.0414688154916	0.0466320564708
e	0.36461411743	0.307192576441	0.0675839132999	0.0405309407646	0.0399636419422	0.0362896672599	0.0295343455313	0.0352520018624	0.039374655292	0.0396641123393
f	0.212194718743	0.394212514814	0.0929421147133	0.0601768266182	0.0424663636664	0.0384126902104	0.0325562047262	0.0376391723637	0.0428493284885	0.0465501277864
f	0.218613390048	0.288550852405	0.0974123533711	0.0739059413093	0.0753747299625	0.0584165033077	0.0354667629739	0.0434640652686	0.0466355433342	0.0621598654794
ò	0.205330420883	0.220673466402	0.133434345624	0.0948300610064	0.110041234457	0.0658731950648	0.0293395110278	0.0389259234152	0.0392614779154	0.0622902868835
m	0.116094032294	0.218693351534	0.189113654541	0.119048881069	0.126310892712	0.0714659551903	0.0282473140459	0.0343837555288	0.0311484779072	0.0654935805363
m	0.135206598031	0.157564037465	0.170294954047	0.12095514545	0.149034438295	0.0871365081	0.0351619400486	0.0400855653369	0.0343079946335	0.0702527895313
u	0.13803605037	0.116724240375	0.168999326149	0.150292069443	0.163726529996	0.0957719603432	0.0351163552498	0.0440382810408	0.0333133812909	0.0539818364681
e	0.0709882030587	0.0864276216583	0.17758177565	0.172853977348	0.202811662732	0.142363550288	0.0349951786869	0.04867360733	0.0268445344808	0.0364599203856
m	0.0516973799136	0.0526348284774	0.11554944551	0.182038712849	0.213034420911	0.193098505696	0.056199987181	0.058293569916	0.0292876600823	0.048165483231
o	0.0455366097299	0.0456437330838	0.08438528173	0.18278860735	0.182457072637	0.209626647232	0.095616611647	0.0598620800247	0.0333964304001	0.0606868595795
m	0.0392758795446	0.0433740741466	0.0717278131767	0.174069607983	0.159826439479	0.196634641211	0.136755185936	0.0709432827816	0.03686649412	0.0705266604934
a	0.0353499071762	0.0415024565409	0.0579145805256	0.155507224728	0.136315257426	0.205856470804	0.159946271712	0.0831155365785	0.041175529082	0.0833169015078
i	0.0267498699721	0.0376470934296	0.0495926940919	0.100012964996	0.122945578409	0.242957726268	0.172629069104	0.129790383311	0.0389587183627	0.0787159705459
g	0.0301258133942	0.0316320404659	0.0412401145273	0.0852534428587	0.11024875011	0.202477655689	0.190041541835	0.174852100737	0.0441866328209	0.0899419727886
r	0.0362993953649	0.03168353306	0.0381545229771	0.0818994362662	0.0926115150833	0.14200418963	0.237037046612	0.176278759414	0.053596663849	0.110434983523
a	0.0290011287783	0.032930728618	0.0349109349777	0.0590124003634	0.0661228492344	0.132370554943	0.240055154271	0.19811159014	0.0902941848383	0.117190446101
m	0.0209019272128	0.0315592342927	0.0354918989779	0.0526814444025	0.0610256438115	0.129301245381	0.196846712157	0.230535458287	0.109294688226	0.132361701827
m	0.0297644473671	0.0292010517549	0.037225850004	0.0536481682895	0.0607454687372	0.10248688286	0.222953504452	0.230972861192	0.0855944425727	0.147407431676
è	0.0326147068518	0.032837930325	0.0401343383093	0.0447570195545	0.0516030962457	0.08765325882	0.224371891884	0.231274325653	0.105200207508	0.149553404225
n	0.0262935853141	0.033526998749	0.0388282283718	0.0381114098555	0.0531903739019	0.0971126487067	0.193422572628	0.257463687418	0.110541693556	0.151508906608
a	0.0219835432149	0.0256438072477	0.0284876707559	0.0305313772865	0.044575218934	0.0799375486422	0.166332169209	0.259783480139	0.168940037139	0.173785189069
a	0.0134431493116	0.0150169667852	0.0161827142298	0.0180896321368	0.0258444254933	0.0492770969074	0.11641599825	0.280498612713	0.259506907313	0.205724458403
n	0.0108472661105	0.0118354076057	0.0152975914071	0.0182151019503	0.0246864696438	0.0421161670378	0.0932719519967	0.294453927771	0.266443241371	0.222832811781
g	0.0158431414285	0.0112993593319	0.0156803291388	0.0202610203212	0.0252766360299	0.0371714424546	0.129408145199	0.281078975084	0.24069774841	0.223283110594
r	0.0159090362672	0.00838741968263	0.010478513538	0.0159444652728	0.019025557348	0.0265997909222	0.176808342193	0.235456235161	0.21837868805	0.273011850291
à	0.00960011866107	0.0144915010022	0.0144506459764	0.0177436142123	0.0160945042093	0.0288756763047	0.143183339638	0.176756268427	0.25315141931	0.325652877857
m	0.00849793887702	0.0198968364534	0.0213959503665	0.0261478171948	0.0201390614378	0.0348877841642	0.0916152645927	0.168658794142	0.28554887577	0.323211686086
m	0.00963599734634	0.0140219507258	0.0168116110448	0.0235857637569	0.0188406347139	0.0300898645421	0.137654297564	0.168668589381	0.29620487817	0.284486356775
a	0.00957383371385	0.0122811090397	0.0131882125904	0.0166623327076	0.0125738782106	0.0230871152274	0.137334459188	0.137202618594	0.297185013637	0.340911341672
</S>	0.00905189977953	0.0136666985765	0.0141813925244	0.0161217050098	0.0118889136743	0.0215026339667	0.082622983744	0.108415996197	0.285602662818	0.436945066836
