 	hai	già	mangiato	</S>
ì	0.74387206	0.08715103044	0.077319741543	0.091657149435
s	0.673668974667	0.14591018028	0.087347915265	0.0930729314117
e	0.452981247556	0.30216380276	0.132267398688	0.11258757914
g	0.265661387985	0.438242235187	0.160111273643	0.135985133656
i	0.186801448728	0.481050673996	0.189691351628	0.142456552739
à	0.0973177491093	0.384603537999	0.387513500543	0.13056521916
f	0.0679642613031	0.244780194	0.546441261514	0.140814299853
a	0.0658217356317	0.16497843814	0.555976481171	0.213223369951
m	0.0639918450299	0.12538791952	0.538256165057	0.272364095984
è	0.061001889172	0.10994213828	0.551656347019	0.277399634328
n	0.0414317101413	0.0768806648667	0.604335493006	0.277352098443
a	0.0317325428044	0.0643936904622	0.497543093402	0.406330639481
</S>	0.0323294162222	0.0571145609911	0.374020011301	0.53653599374
