 	non	ho	cosa	a	fare	</S>
e	0.705469497	0.09890593118	0.050363302223	0.0645523662964	0.0397145139127	0.0409943809084
n	0.485689910867	0.237025678593	0.0785570933477	0.0778158788264	0.0540682629658	0.0668431907406
è	0.278671561656	0.381613258864	0.125827914816	0.0720756201455	0.061799324042	0.0800122962665
c	0.185083426939	0.364507806955	0.191938374272	0.108247538915	0.0739546849189	0.0762681387162
h	0.1056350928	0.275456542985	0.306125468757	0.145196934238	0.089800276233	0.0777857211587
o	0.0680300703333	0.185343226662	0.394238860652	0.186314252279	0.0757435099177	0.0903301184462
t	0.0377370865158	0.148551947534	0.327443751284	0.271771532426	0.0880390387459	0.126456680002
i	0.0244229582099	0.116681927391	0.198700842561	0.360430960142	0.140311517609	0.159451852401
k	0.0185156231398	0.0533155099517	0.117780992387	0.345254567114	0.290765345296	0.1743680324
à	0.0152685096957	0.0284151219052	0.0683255291957	0.244685579771	0.434419140432	0.2088862108
i	0.0157464762889	0.0190567908237	0.0406984072572	0.169678073204	0.472466033811	0.2823542128
</S>	0.015225206211	0.0148201151949	0.0288213224166	0.131819157022	0.488226493405	0.3210875974
