 	era	molto	stanco	</S>
ì	0.750418574	0.08173969347	0.0923156204528	0.0755261546347
o	0.681181187333	0.143535337943	0.0932738504481	0.0820097214491
n	0.518729652444	0.264307850648	0.110810355302	0.106152177128
e	0.336159070481	0.402858938883	0.126954536836	0.13402740804
p	0.19526754116	0.523414784294	0.131367809481	0.149949811491
o	0.140304649587	0.589661035431	0.130933691874	0.13910056803
d	0.104053899129	0.601860550477	0.154185864471	0.139899672077
d	0.0586921468763	0.569042989492	0.161570307157	0.210694560328
h	0.0426405019921	0.508633690697	0.208333026052	0.240392768745
ì	0.0511054037974	0.417644201099	0.310553957751	0.220696433115
s	0.0482918801711	0.289102784366	0.402470970317	0.260134414772
t	0.0288219476957	0.184299854789	0.538597092772	0.248281105597
r	0.0178025703652	0.138277934063	0.655062199591	0.188857254986
à	0.0170378324971	0.085075030221	0.61926039253	0.278626741575
k	0.016599677381	0.0529930455003	0.58005553751	0.350351757858
k	0.011946621925	0.0588917190601	0.648988387837	0.280173240846
o	0.0145940019263	0.0668833241934	0.568164145346	0.350358450509
</S>	0.0200920307532	0.0670938345567	0.452293051773	0.460521002254
