 	il	muro	vuole	uno	specchio	</S>
o	0.698879232	0.14635471975	0.038673438996	0.0376651580627	0.0389507785972	0.0394766856474
t	0.497251588	0.278958283117	0.0519056498333	0.0491906480544	0.060133293546	0.0625605905657
ì	0.314578143733	0.407368510372	0.0708900794511	0.0567619193655	0.0725442912718	0.0778570724648
c	0.231185526978	0.420866073924	0.13149547439	0.0523274386011	0.079642245656	0.0844831817295
h	0.186067874993	0.397896417775	0.196421310703	0.0532092931422	0.0815596088643	0.0848454945832
o	0.154830201598	0.397526697925	0.266851539274	0.0523759222286	0.0604626637084	0.0679529958636
t	0.0902643632993	0.308052302442	0.347027112091	0.0596490384995	0.0798779012645	0.11512930809
è	0.0591499385998	0.189960462414	0.45875291203	0.0593026381265	0.0830188926085	0.149815222152
l	0.0478878332733	0.137234002671	0.534962010543	0.0605824551515	0.0735395164668	0.145794213473
i	0.0599619621978	0.118740038324	0.423388032381	0.146691798206	0.0812814892293	0.169936674778
n	0.0623299398259	0.0956529866593	0.294545403594	0.247273988269	0.104272295743	0.195925349259
a	0.0363820639353	0.0571947347044	0.193204088498	0.363836608623	0.147476989448	0.201905449786
n	0.0218572480758	0.0329268980755	0.097763066586	0.436889878208	0.206597921616	0.203964913695
g	0.0168114236226	0.0220190043292	0.0561726622487	0.390228539736	0.304462030539	0.210306287432
h	0.0156548248049	0.0187858696611	0.0462904404829	0.325494304179	0.37420731418	0.219567210877
i	0.011092750141	0.0150417642557	0.041205581337	0.26189809646	0.406272027393	0.264489713626
a	0.008100841478	0.0104762381604	0.0247363529417	0.198251245687	0.441705804464	0.316729513242
l	0.00723997588767	0.0101662984599	0.0193777074052	0.145786554922	0.461799699488	0.355629846181
ì	0.0131614950339	0.0167359156472	0.0476365388351	0.111543143667	0.451276763496	0.359646230727
</S>	0.0183867731149	0.0218912706966	0.0759809177106	0.0950389691335	0.442458720248	0.346243439363
