 	le	ragazze	vogliono	guardate	</S>
t	0.772266902	0.07547620186	0.0510706556884	0.0488399676879	0.0523463227732
a	0.720557338	0.11032424102	0.0539568926496	0.053061170598	0.0621004122733
k	0.573662230667	0.227694665873	0.0610703325904	0.0550899654252	0.0824828182952
o	0.430106390889	0.347855105958	0.0663453510635	0.0574137085203	0.0982793947741
r	0.317607728296	0.436972944653	0.0701914416212	0.0667966581294	0.108431188458
à	0.213177840099	0.522121751551	0.0905613238737	0.0618574553908	0.112281673284
s	0.1603543457	0.555662500517	0.104989301091	0.0624346391792	0.116559237779
i	0.139379447767	0.460040290172	0.19655713243	0.0681645689831	0.135858473997
a	0.112152315436	0.292408969591	0.37633936281	0.0835935395897	0.135505667549
t	0.0698552099853	0.204464782397	0.441790782937	0.12057631965	0.16331282617
è	0.0548899399884	0.169967300466	0.437992757646	0.133120470417	0.204029504923
l	0.0442787260228	0.130798560089	0.490957999215	0.122206670539	0.211757994508
o	0.0389088777809	0.0876399821497	0.420685753472	0.219362920446	0.233402456769
n	0.0358811693603	0.0767698399699	0.301730086224	0.299118771482	0.286500140923
e	0.0269545527801	0.0664668162566	0.213661656235	0.388564863827	0.304352131374
k	0.0279768183934	0.0453706776189	0.128027653172	0.454115158609	0.344509714525
a	0.0266530900711	0.0376781354036	0.0944406751907	0.46417738087	0.377050765842
n	0.0180203003604	0.0311344774919	0.0734145481969	0.519960037623	0.357470684281
o	0.0136854847168	0.0254949073366	0.0644272539123	0.514390323874	0.382002045094
n	0.0123903061689	0.0234573618115	0.0519286935508	0.487394609291	0.424829052365
i	0.011893527333	0.0220376432798	0.0475200542103	0.47488125443	0.443667532788
m	0.015847578731	0.0207009170893	0.0481050734968	0.429505873877	0.485840586929
m	0.0229662600837	0.0494154687444	0.0516696480989	0.316018442626	0.559930214976
è	0.0220954915412	0.0584431826428	0.0660136375663	0.295346093809	0.558101604325
n	0.0292415301804	0.0458069996343	0.102927594522	0.36963032327	0.452393589442
a	0.0341187681668	0.0394883281848	0.113980222907	0.38049232869	0.431920371147
</S>	0.0263068359034	0.0289795449524	0.102504108554	0.351984227745	0.490225252573
