 	qui	dentro	vuole	un	tappeto	</S>
e	0.678301901	0.1129000132	0.0503532480326	0.0494701457969	0.0545939980791	0.054380654477
t	0.597031729	0.165515794067	0.0599510169295	0.0532859835139	0.0594441916859	0.0647713130509
t	0.504834478333	0.209793286956	0.0724736879832	0.0602531654304	0.0707272818336	0.0819182138713
ù	0.368228249111	0.352802987919	0.0682701654077	0.0573844961199	0.0712798429126	0.0820343137119
m	0.22324334557	0.471219697973	0.0988820600959	0.0498302577619	0.0779212075721	0.0789033903976
è	0.142869032877	0.512780828658	0.144677416052	0.0489842798819	0.0730030299813	0.077685323517
s	0.102823653646	0.488364746619	0.220821365017	0.0445448540118	0.0543892218745	0.0890561624976
a	0.0902413673953	0.34351497034	0.369913091672	0.0523781404048	0.045843357538	0.098109150053
t	0.0744614645984	0.213181458213	0.476402077224	0.0690041341216	0.0336163034427	0.133334511617
è	0.0515353255908	0.133707503438	0.525164441075	0.104764240241	0.0331576927429	0.151670753791
l	0.0394961904016	0.0981538423527	0.520133734158	0.131172762347	0.0555123317476	0.155531200314
i	0.0327371295072	0.0685761857602	0.360134099186	0.270242869782	0.0787329669159	0.189576770276
è	0.0283953852507	0.0460796496127	0.184655290795	0.459934235594	0.089955962572	0.190979438405
n	0.0280615467555	0.0392987930342	0.139615594732	0.491515724198	0.105928339457	0.195580030935
a	0.0303851810022	0.0369274274207	0.101083688571	0.428669996626	0.198542481486	0.204391251665
t	0.0214372741941	0.0251038877496	0.0580949224303	0.355856082435	0.363599610829	0.175908183222
a	0.0154581714827	0.0178764621019	0.0399180040234	0.260496177545	0.461375781543	0.204875376807
p	0.0120287328569	0.014469829666	0.0244851401278	0.151573903582	0.517804724514	0.279637626669
p	0.0127271858556	0.0186051357063	0.0194778576653	0.108802952201	0.520907516505	0.319479292223
è	0.0131412960315	0.0196955658908	0.0179005119444	0.0905140676737	0.511486243835	0.347262289608
t	0.0169711134262	0.023241452488	0.0260561471548	0.0723326983579	0.534592342612	0.326806300069
o	0.0197859635394	0.0249262095267	0.0285077187116	0.0554893056993	0.473606325604	0.39768458669
</S>	0.0149310310837	0.0175073451094	0.0202674940658	0.0405649819197	0.415822617902	0.490906649345
