 	entrò	da	qui	</S>
m	0.696821711	0.096802816407	0.0800129801211	0.126362520771
b	0.600633281	0.149589948916	0.0847434547719	0.165033380453
ì	0.473075481	0.293329254605	0.0802401522258	0.153355130858
k	0.427417478133	0.354554494935	0.0741059829846	0.143922040272
e	0.369527855178	0.381545578645	0.102799717722	0.146126841116
a	0.199877542966	0.390116249148	0.286544480347	0.12346173443
p	0.108351756735	0.247063862583	0.529796157182	0.11478828601
ò	0.0777308033983	0.136402509741	0.637936799727	0.14792995307
t	0.0393602813394	0.105658218594	0.652359457909	0.202622085957
t	0.0548345188065	0.113493269798	0.563648740636	0.268023518586
u	0.0612026356688	0.0972767759327	0.471977551545	0.369543083462
</S>	0.0388043837344	0.0720015975663	0.458600627772	0.430593440731
