 	mia	mamma	puliva	la	casa	ogni	giorno	</S>
i	0.7377452595	0.05858021898	0.0350051800746	0.0313351630546	0.0322556080074	0.0317882353485	0.036691524994	0.0365987556456
m	0.648800513833	0.0870934402933	0.0611524389766	0.0347484366212	0.037190851605	0.0399755685298	0.0406502116221	0.0503884649978
à	0.459267435011	0.246988460098	0.0752930726475	0.0371511410253	0.0399511815683	0.0437558268436	0.0411270217529	0.0564657990892
n	0.318395622737	0.396655512699	0.0827937309112	0.0386535985133	0.0378175887627	0.0379473667366	0.0394860991492	0.0482505052313
a	0.234243669846	0.4593349709	0.111411763057	0.0404925731378	0.0356404954696	0.0348896892694	0.0389517840024	0.0450350605187
m	0.136650361149	0.430626585833	0.176947926132	0.0706126189926	0.0424544888185	0.0423422007053	0.0401616771524	0.0602041004762
u	0.089388175383	0.303298377478	0.269550354711	0.127948862998	0.0473695660728	0.0474648528971	0.0422419905566	0.0727377974526
i	0.0610913977343	0.196418775159	0.316300375637	0.190630187666	0.0810042370243	0.0556247497144	0.0371697207341	0.0617605494144
p	0.0495527843514	0.10466712432	0.323074099212	0.233793239889	0.122319877141	0.0693845254381	0.0367305437537	0.0604778218701
u	0.0464998869838	0.0792910807733	0.280501839337	0.28125151263	0.121368544914	0.0730112102127	0.0405380389086	0.0775379246176
l	0.0387685383086	0.0658368409511	0.242628817112	0.30609078021	0.139526212438	0.0832581357376	0.0426437277095	0.0812469708815
ì	0.0346216832169	0.049723393277	0.197810775037	0.341576041803	0.170513337546	0.0743150017792	0.0417845260365	0.0896552398592
z	0.0265311942656	0.0430204716923	0.135712687146	0.374572057668	0.218942884582	0.0661128031597	0.0349372912122	0.100170639685
z	0.0294882315952	0.0402397382974	0.155503762115	0.322276272556	0.232314128461	0.0716695343999	0.0440535397236	0.104454794544
e	0.0303558703051	0.0371489085658	0.142233178905	0.284424386585	0.215340813354	0.100604228847	0.0588861798607	0.131006464277
t	0.0196964587777	0.0245562988519	0.0733921595683	0.248012460595	0.286988800718	0.125180919082	0.0695990817869	0.152573930272
o	0.0169296822646	0.0207603775473	0.0460045059228	0.188886514845	0.302429195306	0.181528408827	0.076828807329	0.166632640091
s	0.0144007128895	0.0171281187942	0.0317270556923	0.139941503795	0.293807752169	0.239400599609	0.092353902443	0.17124048323
p	0.0137587389652	0.0108967867498	0.0260545195488	0.103558869398	0.288450128723	0.252773966536	0.120703956681	0.183803113477
ì	0.0146268161984	0.0107165509233	0.0268138580496	0.0883793233993	0.229817714908	0.280445998179	0.14383229756	0.205367488692
t	0.0107199227481	0.0116295851504	0.0224781371765	0.0718941339664	0.243105957969	0.26352809606	0.167727166853	0.208916980364
i	0.00941466805137	0.0108456461108	0.0174414565635	0.0450047373955	0.198755519496	0.252092045887	0.211656373618	0.254789514988
k	0.00911877000579	0.00975931461693	0.0142315411438	0.0304867349785	0.129049935805	0.249467312496	0.260812105873	0.297074369996
à	0.0076034370666	0.00815939680098	0.0114027819659	0.0241581662662	0.101767652802	0.221893232299	0.357306805958	0.267708636999
i	0.00644984393283	0.00728549142024	0.00887208273463	0.0165062392014	0.0539173131873	0.181766021966	0.469770197319	0.255432893
m	0.00705538001591	0.00825504174366	0.0106324352795	0.0213681786718	0.0486775003491	0.152107088322	0.46991061644	0.281993830067
è	0.00755151797577	0.0100173681182	0.0121265163552	0.0259540703426	0.0461557925497	0.125754430107	0.503464764147	0.268975583089
r	0.00648760520792	0.0090884709104	0.00951210600173	0.0178927203015	0.0296991455032	0.0993259964357	0.567041735382	0.260952274363
i	0.00763372895697	0.00880887034667	0.00954321744324	0.0135016952478	0.0230537341077	0.0805551527919	0.513828499127	0.343075157454
</S>	0.00941800247618	0.00989583341164	0.0108180047606	0.0133392040039	0.0193676874838	0.0635900538659	0.465764244564	0.407807026727
