 	siete	cucinato	</S>
ì	0.760114414	0.12644175795	0.113443846948
s	0.682358368667	0.18366664345	0.133974980169
e	0.485622420222	0.328725925283	0.185651648243
s	0.301908740741	0.461684693761	0.236406589881
t	0.21152718158	0.515825449254	0.272647422847
a	0.135480890193	0.517754833085	0.346764305302
m	0.0811242484977	0.531464907028	0.387410835367
a	0.0672997113726	0.512823709009	0.419876532056
r	0.0487857537642	0.440595412336	0.510618770019
à	0.0364047626147	0.410187506779	0.553407690006
t	0.0366283382116	0.400930681593	0.562440956002
a	0.0394962803839	0.325019815864	0.635483886001
</S>	0.042209200392	0.253075965932	0.704714816001
