 	vuole	pianto	</S>
e	0.75719529	0.122888381146	0.11991629689
t	0.712889729333	0.1133388455	0.173771392954
è	0.645465817111	0.142166490587	0.212367670993
l	0.586565607037	0.154397438562	0.259036921166
i	0.414514521146	0.265754054287	0.319731371082
k	0.218844585515	0.380204760496	0.400950588094
l	0.183718753838	0.351378403499	0.464902830298
a	0.149194837613	0.3414455045	0.509359687699
m	0.0717707126677	0.355398225833	0.572831047233
m	0.0793672791926	0.343730042944	0.576902696744
è	0.0901440892429	0.347690398981	0.562165537915
n	0.0878554674196	0.377414162327	0.534730328638
o	0.0811316575399	0.378377419442	0.540490837546
</S>	0.0594454838699	0.373501875721	0.567052512773
