 	non	ho	dove	d	andare	</S>
e	0.705145074	0.105018341295	0.053944047903	0.0552954673034	0.040125487481	0.0404716506685
n	0.496957015667	0.233639870898	0.0873238466277	0.0666431018407	0.0544501011283	0.0609861656495
è	0.294856808622	0.375690918299	0.131177806763	0.0671265669469	0.0613486876297	0.0697993137583
c	0.195770437607	0.374125164433	0.220986937588	0.0874188843823	0.0557065513316	0.0659920757409
h	0.109768086576	0.291390649344	0.363251323196	0.112609959021	0.0566512160472	0.0663287874738
o	0.069736121632	0.199487869715	0.438324988399	0.165342160234	0.0503368735657	0.0767719708648
p	0.0427658824187	0.119937902372	0.418381692133	0.245135836431	0.0698193754752	0.103959244106
u	0.0296347043076	0.0684730652573	0.297640181244	0.365812809697	0.118710100825	0.119729066929
è	0.0248593622136	0.0370474094924	0.166092001901	0.440192691632	0.198869515008	0.132938961136
n	0.0283872013216	0.0307675263455	0.115390683454	0.404153248411	0.287652989736	0.133648282625
a	0.0260192954781	0.0270274823345	0.0744610688553	0.27797097323	0.455951166645	0.138569964722
p	0.018062148051	0.0218985259428	0.0486672960491	0.129938521237	0.583320865548	0.198112583574
à	0.0150408193989	0.0197017710389	0.0418965738764	0.0809174058123	0.629793442516	0.212649867858
o	0.0120905822642	0.0135266730923	0.0270144077588	0.0677434028108	0.587686702839	0.291938149953
</S>	0.0121091442862	0.0105189312582	0.0205065366794	0.0619090822154	0.49068171442	0.404274568977
