 	dei	genitori	</S>
à	0.786541781	0.10052719645	0.112931053892
t	0.768654283667	0.110025419503	0.121320329331
t	0.711241957889	0.117791275586	0.170966702081
u	0.55031755863	0.238370597481	0.211311750151
s	0.362082778423	0.36818963176	0.269727529404
g	0.279034304021	0.393548348645	0.327417350745
e	0.196332064807	0.470234330273	0.333433672525
n	0.107523553418	0.505574844758	0.386901618175
i	0.065437166582	0.507512310919	0.427050505258
t	0.05933237615	0.45008857004	0.490579028286
ò	0.0721167731127	0.37854389108	0.549339320762
r	0.0778232092442	0.37712114196	0.545055602254
u	0.0729109691547	0.319057118987	0.608031846085
</S>	0.0620139971773	0.280363695593	0.657622273043
