 	quando	è	arrivato	Giovanni	Anna	stava	e	dormiva	</S>
m	0.5817122976	0.082267180702	0.0690086653029	0.0412651024416	0.0399000634284	0.0420593956427	0.0375634210514	0.0406851178418	0.0655387797391
ò	0.534425387867	0.130069078121	0.06914166736	0.0410939768688	0.0397328043867	0.0401010293526	0.0376366798753	0.0408670311348	0.0669323929442
t	0.499180511289	0.19692697264	0.0740561750203	0.0386171209331	0.0390741444134	0.0363434041795	0.0325922086807	0.0363415654362	0.0468679346595
t	0.404678195096	0.204812750867	0.121878065817	0.0528683710893	0.0507833434438	0.0453869549626	0.0357140050742	0.0392743483976	0.0446040245352
i	0.298379959765	0.29788139461	0.131651229729	0.0575065686153	0.0482203711962	0.0450503696851	0.0365883894903	0.0394027524199	0.0453190539074
è	0.191098940655	0.404548287537	0.175067835343	0.046607644625	0.0359363180212	0.0353876449957	0.0314790107553	0.0345519490591	0.0453224601868
t	0.145256262218	0.366863073846	0.256880298781	0.0511665404649	0.0346263057931	0.0336729022627	0.0279311309788	0.0324540373253	0.0511494771026
t	0.186062332739	0.276007401282	0.238494838594	0.0825589452626	0.0504585068387	0.0455908780617	0.0308850071875	0.0359522674702	0.0539898188727
a	0.175480690313	0.241401879761	0.266623594865	0.0922236391285	0.0529925673635	0.0482874965395	0.0336801465005	0.0366877574809	0.0526222526119
s	0.0899885725043	0.24750485352	0.354028551755	0.0868172026762	0.0448771208388	0.0419247156611	0.0326395506279	0.038172352754	0.0640471020437
e	0.0569672265414	0.192914600107	0.347977594052	0.180519790159	0.0414065677623	0.03828928406	0.0315856128471	0.0381565781361	0.0721827744775
o	0.0425812891071	0.121833053942	0.267179651484	0.343949854053	0.0422162388141	0.0347334864439	0.0388707775543	0.035960443239	0.0726752815891
G	0.055384075009	0.082767487594	0.236783261961	0.347207626484	0.0579494028714	0.0534937535774	0.0425062023007	0.0427310509623	0.0811772792533
i	0.0626915205297	0.0779200799047	0.239486011054	0.338635015961	0.0584132435571	0.0560794558725	0.037008815424	0.0443794664159	0.0853865601884
o	0.0428961040166	0.0640443899216	0.189673756151	0.354264592587	0.101202708919	0.0493437797008	0.055000849787	0.0452047841479	0.0983691622292
v	0.0533591602055	0.0597280580805	0.168258654117	0.274064244796	0.128602042773	0.0630365075636	0.0695568696155	0.0559760107716	0.127418519944
à	0.0553176386885	0.0578544468802	0.162339587706	0.284492606999	0.145669747191	0.0657404727212	0.048689240952	0.0552541898269	0.124642106853
n	0.0360876101828	0.0498704639467	0.136394929702	0.2960224846	0.204558605797	0.0777211604404	0.0307303931775	0.0505937881153	0.118020502716
n	0.0398098475276	0.0532818572022	0.113511566234	0.2675668488	0.227253781266	0.0978576969468	0.0279814681485	0.0492151212876	0.123521703084
i	0.0366672666159	0.0441264166274	0.0870649221847	0.2731188378	0.266477047222	0.0982744013156	0.0342605498055	0.0427294402988	0.11728112444
e	0.0229400752466	0.0277753398851	0.0582201612416	0.2231085832	0.348486616007	0.100605799972	0.0553127135618	0.0384986318269	0.125052146945
A	0.0168653073102	0.0209139205377	0.0431319940205	0.156949762733	0.414256338802	0.118157967924	0.0632699482473	0.0423936615485	0.124061170612
n	0.0261362676234	0.0179697075392	0.0432918143002	0.140709260311	0.412510509801	0.128939704308	0.0574209361091	0.0547870208642	0.118234885356
n	0.0358154061945	0.0218352036097	0.0376906065734	0.120519206524	0.408326694334	0.134787499036	0.050460079903	0.0620648103534	0.12850055191
a	0.0261760021848	0.0214251762732	0.0277218424378	0.087127847508	0.362204585245	0.183842398345	0.0792751885343	0.0670993523978	0.145127558383
ì	0.0162030837863	0.0147308077611	0.0233998786459	0.067733647896	0.271227332815	0.270495639448	0.126162348458	0.0744547165526	0.135592398354
s	0.0268480271734	0.0123074573437	0.0262271394953	0.072058089712	0.232976136405	0.290070568883	0.142220960766	0.0842697540375	0.113021735318
t	0.0470333694445	0.0132440973612	0.0288082535451	0.068908565344	0.203432259868	0.237687609361	0.162244086922	0.116492775146	0.122149006613
i	0.0392441380482	0.0134376525937	0.0236484564017	0.048769362668	0.150585521623	0.215646772454	0.199528211907	0.130253312049	0.178886634111
g	0.0221580398827	0.0111916940026	0.0184274434319	0.0353978384227	0.110830251608	0.209003179885	0.238129209236	0.13296541835	0.221896952437
g	0.0269705893409	0.0104368754242	0.0145387896686	0.0333901992476	0.0899081474693	0.214328393695	0.230102542412	0.165130987783	0.215193455712
h	0.028486988963	0.00879174963007	0.0102609925762	0.0277021986359	0.0712807804898	0.261050063232	0.201830640937	0.187554988794	0.203041587404
e	0.0174809604343	0.00666042197336	0.00831638362873	0.0196338530386	0.0542248801433	0.221891966944	0.199807340979	0.223990611131	0.247993638801
c	0.0121173941354	0.00767375278179	0.0101379801822	0.0182870981262	0.0407261838611	0.128957085315	0.193730144326	0.29699321771	0.291377187334
è	0.0113270875051	0.00882577395326	0.0130170425434	0.0219269463421	0.039126663307	0.095355277105	0.173561576509	0.33133692057	0.305522718845
p	0.00916527205703	0.00807862014442	0.0131712044445	0.0241670541407	0.0415448508663	0.081013820415	0.148484439503	0.373983732657	0.300391026282
l	0.00741595751301	0.00714389247014	0.0104478709162	0.0206335248776	0.0392895514528	0.0792997255183	0.171184175568	0.386771460019	0.277813830694
o	0.00890393994234	0.00680002271471	0.00785586518273	0.0150586850265	0.0273342816083	0.0638422726994	0.168618443189	0.352495852006	0.349090616831
n	0.00998530889211	0.00670722223557	0.00771681607024	0.0125115742722	0.0229523701068	0.0426726863998	0.121593019063	0.399038683335	0.376822356277
n	0.01377048141	0.00784210775519	0.00777072672008	0.0137662754641	0.0272273407223	0.0449135157733	0.114351614421	0.391969831778	0.378388116759
e	0.0171147079807	0.0084869916324	0.00872924844029	0.0152096969087	0.0229318642208	0.0381413904144	0.100024214407	0.370623043926	0.41873886292
</S>	0.0159939491653	0.0079966502972	0.00982669669055	0.0152883219454	0.0169627338004	0.0283292797422	0.0842264735035	0.402044302963	0.41933164746
