 	l	ho	sentito	che	veniva	</S>
o	0.680668294	0.11886987905	0.061156965882	0.0568131574921	0.0419332867602	0.0405583413575
n	0.4893370812	0.21495831635	0.076583156494	0.084998528369	0.0642728959378	0.0698500432434
ì	0.295555743067	0.349696684117	0.111299463098	0.087797110143	0.0748873911096	0.080763704678
k	0.174508065022	0.394371660372	0.198018243433	0.0778019632477	0.0800462312092	0.0752539225738
u	0.111278994007	0.298593440791	0.307783412878	0.124515327283	0.0848026732741	0.0730262166773
s	0.0796202211223	0.180174658597	0.362015433293	0.233383773761	0.0742384344037	0.0705675322878
a	0.0509068023608	0.100969447399	0.288839422098	0.377347289254	0.0846305982479	0.0973064275346
k	0.0449873042883	0.0673398014797	0.183838577433	0.426382355085	0.150720754843	0.126731115112
a	0.0404418172508	0.0502190326646	0.122261772298	0.361413857602	0.254026865614	0.171636615604
è	0.0291901840636	0.0336971691995	0.0718537903993	0.268748211281	0.422919522538	0.173591118508
r	0.0180397203122	0.021401766074	0.0499374684376	0.219904204609	0.521570629513	0.169146217336
k	0.0191351851384	0.0157304484152	0.0421249058077	0.192026087912	0.526885721838	0.204097725499
a	0.0201569957985	0.013693199189	0.0286310729794	0.118400210671	0.514748553413	0.304370072993
t	0.0146534056516	0.0127149397273	0.0202679798967	0.069533855957	0.496987880604	0.385842039731
o	0.0126442006377	0.0117548012978	0.0167343207202	0.051629781259	0.472823779201	0.434413238644
</S>	0.013167828895	0.0124155173069	0.0157685478461	0.0430279804395	0.424465613101	0.491154643322
