 	prima	di	andare	alla	scuola	</S>
p	0.643411121	0.09962673085	0.058142326989	0.0606006294035	0.06439904017	0.0738202341316
r	0.552495087	0.182237194617	0.0590894262397	0.0600367554642	0.0654040294249	0.0807375442282
ì	0.440046811	0.341299528606	0.0534409069599	0.0479602811001	0.0524714067917	0.0647811028653
m	0.3355361494	0.420294932202	0.0716982350866	0.0460757376447	0.0468360250241	0.0795589477536
a	0.245208816667	0.438571168734	0.137480334429	0.0463164409616	0.0456768386577	0.0867463629226
n	0.163868747442	0.419581051911	0.254672360543	0.0528308535539	0.0432616809142	0.065785308281
a	0.105869833567	0.323270212637	0.375062070181	0.0872486223846	0.0433982816194	0.0651510252498
p	0.0768123964423	0.248027133546	0.419482611394	0.122258316128	0.0585895692598	0.0748300587166
à	0.0661102093341	0.193773019115	0.415631243131	0.167060383776	0.0615554363199	0.0958698062455
i	0.0494091980874	0.122601284465	0.39524455531	0.256177846325	0.0475754592733	0.128991727195
s	0.0333364708651	0.0699552227483	0.354741148303	0.310259619442	0.0743149017578	0.157392720912
t	0.037805947055	0.0510802414161	0.305219968501	0.328275707814	0.109851022319	0.167767182237
i	0.0364502156917	0.037833378872	0.234594158167	0.308713068805	0.180885771106	0.201523448812
s	0.0209963306639	0.0224080519907	0.167772331589	0.284921482468	0.290329903035	0.213571911471
k	0.0136583941533	0.0154377699236	0.135571225063	0.311512001489	0.309697689278	0.214122903024
ò	0.0159061851831	0.0154339364679	0.105565845354	0.286792999163	0.316793044693	0.259507975675
l	0.020698582821	0.015116308356	0.079391066318	0.244912949388	0.357414803964	0.282466322958
a	0.0183818785977	0.013602912572	0.060390717506	0.221703093829	0.340044062388	0.345877351119
</S>	0.0142780050449	0.012236004066	0.043213139253	0.202589544465	0.315364847194	0.412318420159
