 	sicuramente	stanno	ancora	svegli	</S>
s	0.616721766	0.115601665284	0.0822658631397	0.0848159552689	0.100594859716
i	0.637396613333	0.106849234111	0.0891258804403	0.0667328252101	0.0998955088009
k	0.634843567111	0.115442602807	0.0817751513548	0.0619770339369	0.105961695342
u	0.650156629704	0.118969121202	0.0648465006604	0.05594321288	0.110084589537
r	0.636399383901	0.157286527867	0.0544223015489	0.060403820565	0.0914880001809
a	0.5698634073	0.237485070956	0.0513812244132	0.0606809181726	0.0805894252525
m	0.471387175767	0.302607678185	0.0692232421679	0.0676532647324	0.0891287284737
è	0.369410131256	0.382923448328	0.0698178628893	0.0659829376375	0.111865672631
n	0.357489851752	0.411818132376	0.0539859776231	0.0502889408445	0.126417113426
t	0.365120486584	0.376322228125	0.0683944169544	0.0602862302798	0.129876630171
e	0.291193630528	0.413024948042	0.105007800105	0.0594008721489	0.131372695692
s	0.193259284976	0.495284798681	0.110888384768	0.0591580786256	0.141409418552
t	0.199370745792	0.46217660556	0.106659014829	0.0605442802985	0.171249353851
è	0.181696446264	0.436916425187	0.156009785916	0.0479614949635	0.177415914017
o	0.106003212821	0.405697643062	0.262068589572	0.0569788633478	0.169251754506
n	0.0919735532737	0.336121890821	0.311600496524	0.0731301294599	0.187173909562
e	0.0928645802579	0.25320410434	0.372713638175	0.0905391474706	0.190678494147
a	0.0682411860393	0.157830682713	0.445201701392	0.153298408624	0.175428082049
n	0.0551025653598	0.132877855371	0.445225845797	0.187224159075	0.179569665483
k	0.0837844197333	0.120480921124	0.379631534832	0.149556459492	0.266546669361
ò	0.0868015671644	0.107794443575	0.287034636844	0.194534114231	0.323835270454
r	0.0568906928881	0.101482570192	0.327954349015	0.227466435877	0.286206007285
a	0.0569122663294	0.0911020875973	0.341283205405	0.199993818426	0.310708647895
a	0.0516933108431	0.0714999405591	0.229891113935	0.291203858409	0.355711811232
t	0.0347016878944	0.057063510893	0.155111115018	0.37395575907	0.379167951011
s	0.0409341928035	0.0489063451377	0.110048854499	0.32919939371	0.470911240004
ù	0.0434086241598	0.0388817031392	0.0779000140863	0.367682147257	0.472127594668
n	0.0271119513039	0.0343367227664	0.0890929456821	0.478154236419	0.371304181556
n	0.0273987249666	0.0358435866821	0.088420247114	0.456337999473	0.391999419852
i	0.0317996900715	0.065066975674	0.068420139618	0.422979823824	0.411733406617
t	0.0369398513726	0.0900402401847	0.0486130408727	0.414168950941	0.410237940872
i	0.036447825767	0.0669929445636	0.0345463577642	0.363128916114	0.498883938557
</S>	0.0294369699265	0.0458596480048	0.0320710811121	0.336283252257	0.556349013678
