 	forse	non	li	ha	a	casa	</S>
f	0.680056072	0.07984008796	0.0452407888389	0.0439587906641	0.0466044057804	0.0528548374462	0.0514451250932
ò	0.624049242667	0.1228817212	0.0512239344803	0.047108765382	0.0485796274461	0.0529770854226	0.0531796749924
r	0.573606111556	0.17758656098	0.0678601330388	0.045424076583	0.0396338115188	0.0456876606771	0.0502016050146
s	0.524584807185	0.187785004807	0.0987102195996	0.0535172196517	0.038057303624	0.0469080680751	0.0504373198139
i	0.414512452462	0.255677685503	0.141642118113	0.0567887520487	0.036886707545	0.0427888846841	0.0517033626638
e	0.227568623507	0.345472781568	0.218706960071	0.0611343898864	0.0457892234345	0.042030757181	0.0592972074945
t	0.111078425522	0.257982139056	0.338803637357	0.0946306114488	0.071399635773	0.0573453516547	0.0687601125906
u	0.0684957768807	0.172062494485	0.377933559452	0.154184614883	0.080844154251	0.0599066425682	0.0865726591609
s	0.0483638627336	0.130659674122	0.296721283217	0.216330067628	0.0924486426103	0.101837951739	0.113638460513
è	0.0382295797779	0.0760648422007	0.214938823472	0.320753540143	0.10953247747	0.127339874733	0.113140797061
c	0.0335895936393	0.0573184896669	0.160717180891	0.363843952714	0.136183662223	0.143357344764	0.104989693783
h	0.0341456968598	0.047530748869	0.117316706697	0.314233771571	0.184811690608	0.163796736188	0.13816464363
i	0.0321376825999	0.0395045198297	0.074127162379	0.256273837857	0.272966481403	0.146644578396	0.178345815281
è	0.01770347516	0.0226662591319	0.0439463693463	0.188304180286	0.317316573801	0.252897511199	0.157165642294
s	0.0126591825067	0.0146603749229	0.0320572420201	0.144239970695	0.307851495267	0.378655327733	0.109876315098
s	0.0192333234776	0.0126384205912	0.038102086078	0.104287987098	0.317799141756	0.391735231578	0.116203772079
u	0.0217741716901	0.0128645627797	0.0362214506429	0.066762187206	0.251907427519	0.400952197526	0.209518040806
</S>	0.0170001613885	0.0136179128139	0.0253023678868	0.051776784963	0.18722201316	0.419084997763	0.285995830403
