 	guardando	le	nuvole	capisco	che	piove	</S>
k	0.576716089	0.1530052046	0.0659237486	0.0437359205707	0.0506184020312	0.056193244787	0.0538073890407
a	0.562289694333	0.163220062233	0.0711393135581	0.0435722423503	0.0493917176943	0.0556995004637	0.0546874750267
n	0.481657044111	0.239763245444	0.0795036041841	0.0387818567395	0.0434365952166	0.0554642315164	0.0613934096863
o	0.35007495337	0.342686095815	0.108765502628	0.0383625613492	0.0407329464004	0.0546784335476	0.0646994924729
n	0.239879220457	0.378111219938	0.133528240643	0.0510914597591	0.0485991538935	0.0682512720743	0.0805393992164
ò	0.168751639886	0.368859945979	0.189295995281	0.0574499518114	0.051161563278	0.0737450580231	0.0907358471974
n	0.133755193895	0.39898224666	0.230014106894	0.0580131371021	0.0438109316373	0.0572766367055	0.0781477317518
t	0.148354772898	0.388636670887	0.203165465631	0.0734455454694	0.0534519100902	0.0567957178862	0.0761498162119
a	0.148327935766	0.312523875096	0.23911676921	0.113328203118	0.0557427594606	0.0536623475462	0.0772980546968
t	0.0989971321153	0.241853437165	0.282626675737	0.135467214873	0.0646296328174	0.0636825936334	0.112743333785
a	0.0760745545651	0.169975433788	0.312142412579	0.171672741324	0.0694819374611	0.0700573272112	0.130595614836
s	0.0475039563437	0.104005117196	0.344872379393	0.204144185508	0.0979898003757	0.0761075725265	0.125376982768
ì	0.0354511076366	0.073302128932	0.334996347664	0.226405956903	0.125205510659	0.0820557084412	0.122583280219
n	0.0297366474215	0.063103500644	0.326063179755	0.236750512434	0.11491620382	0.0821143219344	0.14731572654
n	0.0238792756985	0.0493867296813	0.288583692785	0.227799938611	0.109211848207	0.100337766828	0.200800814597
e	0.0201919324848	0.0317390192071	0.191174250155	0.257152192737	0.153029043269	0.106368811887	0.240344782246
f	0.0207902829003	0.0261360151757	0.102155498412	0.255949844446	0.231719159356	0.119413485665	0.243835719549
a	0.0222473022734	0.0247963477626	0.067571530626	0.235862261415	0.274616785785	0.150320034442	0.224585678516
n	0.0158960824951	0.0188119931665	0.044543063004	0.205975088272	0.321328963262	0.165914000394	0.227530794172
o	0.0124508731065	0.0153980286414	0.0328901684647	0.149468969524	0.326526573021	0.234615364491	0.228650057191
ò	0.0114465201423	0.0131645395321	0.0245904899782	0.104763531901	0.295441479074	0.365185183797	0.18540827903
k	0.0120329438941	0.0142076569814	0.0239968914861	0.0838698675603	0.303973144291	0.394285446766	0.167634109977
a	0.0129060082145	0.0144660182863	0.0217071514787	0.0596155029223	0.237218648797	0.441983988255	0.212102752859
v	0.0105625182886	0.010783612658	0.0138433328762	0.0361545931363	0.146339050366	0.507665442752	0.274651485886
r	0.00798447630553	0.0112213936707	0.0457473392587	0.0359246301748	0.134727319055	0.491360524251	0.273034377895
è	0.00710639735118	0.0118358962594	0.0577175490282	0.0349258400963	0.107804876752	0.476993950084	0.303615547232
c	0.00831788319163	0.0108660971933	0.0291995698641	0.0344032556008	0.0827083908507	0.462038368028	0.372466397744
h	0.00926130632771	0.0158064708337	0.0376528324079	0.0556269951949	0.0841428132836	0.431292556409	0.366216998848
i	0.00755330237722	0.0166863049254	0.0379835057272	0.0526775388596	0.0694774518279	0.38706220187	0.428559678549
</S>	0.00547038982269	0.0131750167537	0.0243446732496	0.0340723038298	0.0557924484139	0.372688299935	0.494456824274
