 	perché	aveva	lavorato	tutta	la	settimana	</S>
j	0.637120593	0.10590734645	0.0546381133144	0.0452248774165	0.047400434192	0.0480042941627	0.0617044662022
a	0.623195635	0.116147586503	0.0484991121481	0.0441852562606	0.0476241442913	0.0488226952709	0.0715256676568
t	0.476302359667	0.209949946701	0.0539302437484	0.0439038662334	0.054449186296	0.0623126449529	0.0991517865707
ì	0.337660927489	0.3478579045	0.0561534799828	0.0419828822932	0.0539407835341	0.062942095707	0.0994619986553
ì	0.299858406943	0.452875936433	0.0681063145943	0.0360440316578	0.0396250876548	0.0422429742901	0.0612472864033
c	0.250383819828	0.429869104811	0.127542120998	0.0433078470473	0.0430953293208	0.0456990318962	0.06010278414
h	0.221723711409	0.345011347604	0.206564771199	0.0543332051791	0.0523159195035	0.0557288985995	0.0643222261605
e	0.164283576336	0.305490172535	0.3142677326	0.0579118722797	0.0487101197755	0.0515899823591	0.0577465916402
p	0.0955923527453	0.238748894378	0.397093885533	0.0899040534732	0.0538368980592	0.0527607698943	0.0720631861526
o	0.0753034678151	0.177436158326	0.427518627844	0.120610325358	0.0620982961664	0.0547300126334	0.0823031056884
l	0.0645769539517	0.140673806442	0.436022870615	0.146533296653	0.0781570493955	0.0604693468598	0.073566656635
e	0.0653361201572	0.114522663814	0.400950273538	0.185059864218	0.0897478143918	0.0686407177599	0.0757425258877
m	0.0610975964211	0.0869281342713	0.344031551846	0.245707856139	0.104978227997	0.08046671744	0.0767898650072
ì	0.0412689886824	0.0628912946904	0.303663005615	0.293043489446	0.129587110199	0.0861096839467	0.0834364107157
s	0.0334144105208	0.0594789511635	0.305612722872	0.295499208149	0.134017976966	0.0731732948289	0.0988034703786
o	0.0313072654136	0.0475393405878	0.242791856891	0.317500604383	0.174886109355	0.078282903723	0.107691902093
n	0.0345238098052	0.0389058031426	0.152718324897	0.346760565461	0.210915467452	0.0972996871277	0.118876280751
t	0.0364065587224	0.0364208727942	0.130650554299	0.32675862582	0.219653804817	0.127583818196	0.122525755404
a	0.0319469683275	0.0304895669114	0.092189693433	0.264534888607	0.279716146272	0.145230449399	0.155892298435
ò	0.0195277200185	0.0180626969438	0.0540488880777	0.231561304869	0.339639016091	0.154221496266	0.182938883285
l	0.0140838745888	0.0151636568413	0.0637081559592	0.21835868629	0.332957793364	0.177404018289	0.178323771868
i	0.0130947025363	0.0150782285204	0.0599721226664	0.164003960963	0.321057066055	0.204656535296	0.222137339823
t	0.0104995536214	0.0123757092801	0.0348255671688	0.113554451988	0.339240081618	0.243240866099	0.246263781541
i	0.00890689001647	0.0110325703734	0.0252051519029	0.0804119238627	0.296610277739	0.293319857633	0.284513323847
n	0.00920688901682	0.0111272669711	0.021435646081	0.0550672347542	0.257193902046	0.327534806144	0.318434194349
a	0.00898267541694	0.0105897596504	0.0193624253803	0.0453562894514	0.211518035015	0.380422777381	0.323767995183
d	0.00898777466698	0.00979871394013	0.0186895185334	0.0324135625971	0.141954290005	0.441231097127	0.346924992728
d	0.00651537583233	0.00667842789071	0.0186889133045	0.0249571575457	0.123580543788	0.510243218376	0.309336255089
o	0.00508934749811	0.0069652391509	0.0189595270615	0.0216837027486	0.108666552916	0.521212760792	0.317422820876
m	0.00672440081577	0.00946902158083	0.0203840417338	0.0249775258162	0.0893587651053	0.452702380931	0.396383828959
à	0.00804173437966	0.00963355265748	0.0276593367913	0.0361884073921	0.0859327123684	0.42436126231	0.408182884986
d	0.00860924281082	0.0106944743198	0.0297078452204	0.0421219455507	0.0894416145228	0.42561102277	0.393813766995
a	0.0102126958665	0.0122470034339	0.0211929110541	0.0389649460702	0.0844288214409	0.390761026923	0.442192587665
</S>	0.0118564505763	0.013314869917	0.019364777443	0.0382460538651	0.0861787880205	0.350411364462	0.480627715833
