 	nella	pasta	vuole	sale	</S>
s	0.755156479	0.08807230533	0.047913320318	0.0587563348445	0.0501015765936
t	0.704393543	0.10636840001	0.0542884788898	0.0661475154939	0.0688020066906
i	0.566282214333	0.221309697903	0.0581090544151	0.068651016101	0.0856479002679
p	0.404657047444	0.346988578434	0.081941179877	0.0798304836581	0.0865826126253
à	0.267363586881	0.450686362145	0.115692124559	0.0758859785194	0.090371877192
s	0.154854560494	0.518349852382	0.156862652786	0.0636831711398	0.106249663728
t	0.101940895698	0.459967242461	0.208427628662	0.109306222783	0.120357927608
a	0.078954937166	0.359586434487	0.308094291087	0.13035775433	0.123006541755
t	0.053745605242	0.221205616129	0.402803193696	0.13729186751	0.184953704918
è	0.0386523346807	0.116501801343	0.459833751232	0.175949525837	0.209062599373
l	0.0320515322842	0.0761334294343	0.482890794411	0.201030843946	0.207893381324
i	0.0230539231587	0.0484506701514	0.32494302423	0.334297049982	0.269255307508
à	0.0170750147736	0.0284118946038	0.148106093723	0.566627051327	0.239779938903
l	0.0106242598061	0.0168411508146	0.0920681491543	0.708866637109	0.171599790034
a	0.012184950295	0.0161241053635	0.0586637059248	0.64299888637	0.270028352678
</S>	0.0147420760155	0.0175045116998	0.0406422007324	0.546512071185	0.380599150339
