 	il	lenzuolo	vuole	lavato	</S>
o	0.683584323	0.16031567429	0.049920308334	0.0551788127045	0.0510009285647
p	0.563407262333	0.243092118217	0.0635534284893	0.061939739137	0.0680074944467
l	0.439230176778	0.332893373406	0.0780783510964	0.0674829038457	0.0823152464126
a	0.321471649593	0.431846633802	0.0847407898321	0.0746701726844	0.0872708038539
ù	0.210809875198	0.503078272601	0.126789385411	0.0692118183673	0.0901106429244
n	0.130781586399	0.488417634867	0.21213761627	0.0569387434258	0.111724359919
a	0.109047959533	0.361498527289	0.317103211423	0.0832394731553	0.129110778514
t	0.0836762062443	0.22118998283	0.387700180008	0.123583630585	0.183849927905
è	0.0516145391481	0.141580692677	0.441927066203	0.147937433062	0.216940202402
l	0.036392749776	0.104826959626	0.472424478601	0.162705816154	0.223649970101
i	0.026069521132	0.0668399456753	0.329213561934	0.308184182251	0.269692733567
p	0.022624740534	0.0427620617918	0.173803684311	0.48027037475	0.280539091589
l	0.0333374838547	0.0324140682973	0.133692753237	0.498304941317	0.302250706663
i	0.0332100495582	0.0225326743858	0.0840807941857	0.489170015506	0.371006419288
m	0.017775467211	0.0158271599353	0.0439389171752	0.495635164502	0.426823238429
è	0.0132461680086	0.0186216700251	0.0434964241184	0.515490819501	0.409144868143
n	0.0134468746282	0.0228376275617	0.0470515364328	0.561559637167	0.355104315381
o	0.0139824657114	0.0208761599806	0.0347679114576	0.503243656389	0.42712977646
</S>	0.0139120418507	0.0191166798403	0.0259861196888	0.415722983195	0.52526211023
