 	non	ho	cosa	è	da	mangiare	</S>
e	0.711603566	0.08685454015	0.044776891023	0.034933746027	0.0520832053517	0.0353847243131	0.0343632429074
n	0.4958950136	0.22341113065	0.081791469161	0.0406099110526	0.057620109037	0.0484166857638	0.0522556380964
è	0.282987704333	0.358634814883	0.149365398054	0.0472812345729	0.0479665282331	0.0537241014799	0.0600402699968
c	0.185392164744	0.340856324294	0.247481862818	0.0619163484576	0.0548746558124	0.0542454391222	0.0552332665496
h	0.100252738548	0.263910846765	0.358472148273	0.106735965553	0.0608330221508	0.056504146164	0.0532911389088
o	0.0621752211827	0.184321141722	0.418123372758	0.170017720384	0.0568413640303	0.0453249843185	0.0631961378968
t	0.0414951850609	0.132135689574	0.384922113719	0.212729080861	0.0787096034901	0.0479352736366	0.102073029952
i	0.0310989602203	0.0914836361913	0.263181566373	0.26122397942	0.162339049843	0.0541618395919	0.136510972803
è	0.0251289266639	0.0491964106504	0.142236096358	0.287791693807	0.287105875948	0.066695683734	0.141845279968
n	0.0272903596534	0.0342310387168	0.0876041985393	0.253007873669	0.344224463716	0.104426346045	0.149215750336
a	0.0264180618104	0.0291716521016	0.0594338591398	0.173077583556	0.312385190225	0.243601541482	0.155912130952
f	0.0211214888878	0.0293160356879	0.0521354556786	0.092606001592	0.257988473062	0.389035511827	0.157797052984
à	0.0180072601868	0.0298593599006	0.0492179756162	0.0603092120907	0.199075708687	0.492828839942	0.150701690528
o	0.0136184390785	0.0195499095042	0.027786286191	0.0437836817822	0.141975370856	0.560128061981	0.193158245509
</S>	0.0128459585273	0.0135637788081	0.0185566172769	0.0334815068891	0.116778195468	0.55292646599	0.251847458754
