 	possono	essere	ancora	svegli	</S>
i	0.76817535	0.067214093944	0.0562919271708	0.0528810785415	0.0554375482387
s	0.716302796	0.117046535415	0.0544785123573	0.0512098968944	0.0609622543429
ò	0.633332352	0.201310481672	0.0463016450701	0.0456057710814	0.073449739553
z	0.550468476	0.268256276957	0.0506318104317	0.0433995973234	0.0872438513564
o	0.416116726	0.382190786586	0.0625470610974	0.0487499199034	0.090395533801
n	0.257207558667	0.510462374862	0.0689267765553	0.0531628186306	0.110240462537
e	0.149175864522	0.560769566954	0.107948057905	0.0536775440902	0.128428997009
ì	0.0937189459407	0.551465956318	0.177777959168	0.0536761909901	0.123360985043
n	0.0825916245136	0.531174627439	0.185351329623	0.0563836317007	0.144498789952
e	0.0806865075245	0.401207771146	0.294220361908	0.0647448596309	0.159140496468
a	0.0560327005882	0.208680858982	0.498813517969	0.0920467569236	0.144426152736
n	0.0460834514561	0.146682547661	0.540410300656	0.112825556801	0.153998185079
k	0.0852169936187	0.14629253502	0.416112527485	0.105486773554	0.246891220826
ò	0.0915792328062	0.14820320434	0.312574499095	0.140088264158	0.307554844275
r	0.0582948192021	0.150090366713	0.345185561032	0.171938904719	0.274490402825
a	0.055921344854	0.123363268704	0.366433896344	0.173519201573	0.280762329742
a	0.0468322147647	0.0840317232347	0.274360994315	0.284248570524	0.310526515447
t	0.0332058528816	0.0581462261449	0.191891561372	0.362275079508	0.354481222349
s	0.0534398066605	0.0404746688483	0.149620536899	0.312155292689	0.444309629183
ù	0.0596104451202	0.0314008816161	0.106821117675	0.355823635083	0.446343895728
n	0.0320014948801	0.032046523792	0.108581881492	0.457466592361	0.369903477243
n	0.039378484202	0.0506560387173	0.106412447164	0.414114116654	0.389438880414
i	0.0518692110133	0.0748345265724	0.0777566307947	0.386257546751	0.409282114138
t	0.0526480536484	0.0850743363375	0.0563037681382	0.40208837165	0.403885535379
i	0.0446800145208	0.0701024390392	0.0459879489327	0.35025612295	0.488973473793
</S>	0.0310613773674	0.0495332287896	0.0410674939963	0.325411911975	0.552925954896
