 	il	morto	lo	piangono	lo	piangono	tutti	i	familiari	</S>
o	0.604697781	0.2014464303	0.0246267839042	0.0232469732002	0.0234949916724	0.0229686419256	0.0239286938415	0.0240189624077	0.0243899297945	0.0271808364265
a	0.426205181	0.339724094767	0.0439274509802	0.0257213338022	0.0259431359682	0.0251696123426	0.0269663607568	0.0286035832156	0.0260111467252	0.0317280746005
p	0.281731202333	0.414942074922	0.0808545855534	0.0319900221674	0.0292129355301	0.0271978755983	0.0320432909312	0.0312064938529	0.027964080634	0.0428574343012
e	0.224600273444	0.459015527307	0.0842946726245	0.0338276275931	0.0303201238324	0.0279286352218	0.0334582321578	0.0305129756861	0.0289372946051	0.0471046534212
s	0.189233249148	0.482769118769	0.0808247400882	0.0340057438684	0.0293161018632	0.0272728088743	0.0391749714689	0.0295971632626	0.029289306674	0.0585167882457
a	0.140838238649	0.468918376256	0.119417714963	0.0369070284228	0.0297092367566	0.0279019904367	0.0434451765109	0.030076734107	0.0309435086261	0.0718419657148
m	0.111820858083	0.423653729685	0.144451797988	0.0434938296743	0.0361313896544	0.0359459622842	0.0507339702047	0.0389152763872	0.0354460998625	0.0794069916965
m	0.143958053428	0.336035245495	0.150133422996	0.0544563602914	0.0454267313581	0.0412084584847	0.0637159788917	0.0434077105373	0.0358375882076	0.0858203773494
è	0.171022719609	0.298687254765	0.190259047465	0.0490045020638	0.0404823514194	0.0328891587829	0.0624571522579	0.0334853049824	0.0306972440908	0.0910151916447
n	0.14292618107	0.297705548855	0.238670892688	0.0534880903213	0.0361751710998	0.0295633875123	0.0604712628332	0.0270122637911	0.0275581142128	0.0864289655469
o	0.109895471423	0.221639108418	0.297256779963	0.11144896824	0.0502243071666	0.0361130676994	0.053125743311	0.0280337599421	0.026883616489	0.0653790631525
o	0.076272026181	0.133586974673	0.322622735721	0.180916104747	0.0804123635222	0.0410009384351	0.0459641473467	0.0318023933061	0.0266224882689	0.0607997221016
k	0.0641271100635	0.0968775060377	0.283333102307	0.180764209249	0.147509666107	0.0474920618384	0.0479328716649	0.0352432100718	0.0301203330702	0.0665998568041
l	0.0898161193044	0.0845694968592	0.213885025102	0.13699785075	0.175181832569	0.0564479105261	0.0771277658223	0.0351841157226	0.0392477854045	0.0915420676896
è	0.0880475596215	0.0679949319197	0.146515060701	0.161962329983	0.174570884723	0.0695611466887	0.101467907602	0.0312170754997	0.0383472909126	0.120315849291
o	0.0482140261838	0.0484930239132	0.107774362434	0.227201965728	0.207177077308	0.0980291227629	0.091659679996	0.0296394656373	0.0320491935535	0.109762159204
n	0.0341282262892	0.0421899427852	0.0877941429447	0.249163916176	0.238793434903	0.101870105054	0.086125505352	0.0285747372534	0.0349163947956	0.0964435362368
e	0.029746391481	0.0431236592025	0.0766362741816	0.202092085192	0.244537521768	0.131147991885	0.08646469136	0.0358583933037	0.0408293241843	0.109563540329
o	0.0270629712057	0.0372391851788	0.0526480592139	0.136092127531	0.216807153456	0.185391570495	0.11952029374	0.05329680964	0.0649401565208	0.107001626419
k	0.029368954683	0.0346585280364	0.045931314458	0.100126318444	0.199200139885	0.193841688765	0.143278521847	0.0637917653853	0.101419876522	0.0883829075417
l	0.0448058958134	0.045497736671	0.0529324209193	0.0737054576813	0.166783508295	0.163901231922	0.139125582416	0.0614377148978	0.116010974038	0.135799500129
è	0.0407929889078	0.0406885382637	0.0435512399731	0.0667064458271	0.126196552232	0.138530480907	0.184247162339	0.0880020817153	0.0990281750043	0.172256301223
o	0.0207835825026	0.0237196623086	0.0275288019577	0.0635362772557	0.103141631344	0.149113327569	0.227416024113	0.144479253952	0.0817156303148	0.158565726334
n	0.0161486981542	0.0212304665862	0.0240797647079	0.0603228025986	0.0998650924747	0.16063785059	0.216728548371	0.154980869471	0.0857443428716	0.160261504927
e	0.0163544141781	0.0217431642714	0.0254811017246	0.0508227747129	0.0875798944982	0.141656142017	0.18794931799	0.18062879311	0.0976860426572	0.190098362972
ò	0.013571563406	0.0172522824678	0.0184269803115	0.033177603271	0.0605510573861	0.106208487559	0.19449156673	0.199758137237	0.163415434352	0.193146936277
l	0.0104640924847	0.0149607675151	0.0145736491338	0.0287941966237	0.0538589787354	0.105928143053	0.182177531243	0.186929526946	0.252950202184	0.149362978092
i	0.0124003835936	0.0154407199928	0.0164402422246	0.0257669490346	0.0418840259118	0.0918897433177	0.129863380461	0.209230330049	0.278621640461	0.178462636744
i	0.0124626797105	0.0131642056583	0.0143391870389	0.0189221343022	0.0255716782146	0.0530250461992	0.105688078087	0.199575000216	0.339697187487	0.217554861448
f	0.00999823334683	0.00985401387697	0.0121757911096	0.0135039230714	0.0215592142222	0.0358009022597	0.0831831525823	0.204924489405	0.405801313596	0.203199023883
a	0.00899560447294	0.00883547159586	0.0122915245899	0.0111352652574	0.0214652431478	0.0318057403959	0.0701811498074	0.198173565095	0.402493216232	0.234623301161
m	0.00882646311298	0.00929166653262	0.0122654423813	0.0114285853327	0.0209448518983	0.0340757652746	0.0699671126158	0.159266545325	0.404920194877	0.269013447054
i	0.00886709739826	0.0111431388707	0.0136263036865	0.0131653590411	0.0214333642666	0.0337771364889	0.0620341378919	0.128359173908	0.409873374892	0.297720885018
l	0.00887386163069	0.0115280511841	0.0131648965159	0.0137807428146	0.0199411087609	0.0289204287603	0.062836920104	0.104702675843	0.442513957031	0.293737359339
i	0.00887181249643	0.0100198502767	0.0117357633904	0.0123089717729	0.0173336080185	0.0238106668214	0.0591027481307	0.099424004821	0.475142538677	0.282250046113
à	0.00799903516668	0.0135890074456	0.0140623756809	0.01498401287	0.0147481166561	0.0233615996685	0.0499115497396	0.0809126116737	0.459428291559	0.321003320504
r	0.00782969106989	0.0149678883479	0.0141039763761	0.016254634665	0.0145210894411	0.0240891702095	0.0501399328752	0.0839395188246	0.47036413852	0.303789877968
i	0.0082718162073	0.0108935348279	0.0109530114476	0.0122311288165	0.0129096951478	0.0179195704352	0.0408088046137	0.0790152974082	0.413898860173	0.393098264656
</S>	0.00812560159365	0.00944618194085	0.0100145155495	0.0103654053705	0.0116075476995	0.0138999578756	0.0313230013268	0.0631688544041	0.331963828086	0.510085136328
