 	io	non	ho	niente	da	mangiare	</S>
e	0.657752636	0.13811414845	0.040116288513	0.0361664342178	0.0430316560117	0.0433629431701	0.0414558703678
v	0.588867537333	0.119253727157	0.0614103860446	0.0479685196005	0.0548466661044	0.0606438283185	0.0670092789578
ò	0.444138067111	0.230591824852	0.0825994117149	0.0552894113093	0.0524513074617	0.0619306239214	0.0729993168811
e	0.292390797704	0.394559865884	0.113481536672	0.0491440412989	0.0468263819195	0.049360031504	0.0542373255646
n	0.170524892501	0.353409228761	0.261396756224	0.056920632473	0.0499264747805	0.049460854185	0.0583612030812
è	0.122058828527	0.270319795987	0.348583715408	0.108676058358	0.0456338408435	0.0463399159798	0.0583879294256
c	0.105224585402	0.208628061929	0.324485838469	0.205470057319	0.0446363922512	0.0481768202292	0.0633783212108
h	0.073912358474	0.121095943576	0.31628799749	0.31839606644	0.0497573081904	0.0535785697755	0.0669718045931
o	0.0529625469647	0.0846671133253	0.274415768497	0.369119564147	0.0917917649235	0.0536520373512	0.0733911901919
t	0.0336792490082	0.0530479573084	0.200984789632	0.377326870716	0.141548053474	0.0688126716951	0.124600434215
ì	0.0225012765001	0.0322796548628	0.131384404277	0.422638392905	0.163118520525	0.071699148393	0.156378666958
p	0.019205142044	0.0263333327809	0.0974115228257	0.435413290635	0.175683591308	0.0940569920843	0.151896208519
o	0.0190518590467	0.023254515327	0.0697028393952	0.316866878145	0.274226192703	0.123763000748	0.173134817966
t	0.0177218690989	0.0190835681223	0.0451386087717	0.182651780555	0.383689260701	0.162558014249	0.189156904722
i	0.0155820023	0.016803325345	0.0313994369259	0.110712071072	0.3634491055	0.28087040535	0.181183611841
n	0.0140706094924	0.0151961102932	0.02266943646	0.0645456369373	0.3277176827	0.38521226245	0.17058826608
a	0.0107405125243	0.0119056307855	0.0163261964347	0.0437115668698	0.2606653541	0.490135180817	0.166515562027
f	0.0111961681214	0.0100610142724	0.0146287903676	0.0360499614339	0.172927605233	0.558879248272	0.196257220676
à	0.0119709381496	0.0131378368245	0.0146279388599	0.0374159662513	0.137372669478	0.569356552091	0.216118059825
o	0.0100008460853	0.017069750082	0.0122233455993	0.0286949844284	0.105127857386	0.565869498697	0.261013608208
</S>	0.00832959077675	0.0164491868663	0.0105470972787	0.0240186108512	0.083741044833	0.544595830349	0.312318514104
