 	non	aveva	cosa	a	fare	</S>
e	0.71786243	0.095702216448	0.0436113129119	0.0614624209479	0.039436500431	0.0419251209037
n	0.5158086314	0.228208817296	0.0599604392213	0.0739646867206	0.0531972027976	0.0688601811734
ì	0.2966848184	0.426951773099	0.0759577416804	0.0637619500689	0.0587639658742	0.0778796923609
c	0.184044300467	0.4515452577	0.126734106893	0.088658428183	0.0734027301756	0.0756151318994
h	0.109590999089	0.3497272719	0.251417986964	0.121041655194	0.0878172265459	0.0804048305025
e	0.0729470466297	0.2504747185	0.382774112055	0.141361747865	0.0676034937846	0.0848388158702
t	0.0445709407046	0.180867071527	0.396144774418	0.198425883288	0.0633697235842	0.11662150765
i	0.0309723089762	0.124702499902	0.291883130806	0.302865443429	0.0996345519014	0.149942030283
k	0.0212777000474	0.0576601332473	0.179316088269	0.34015661341	0.221725282494	0.179864208361
à	0.0163843816018	0.0314256181958	0.105072002823	0.277830584737	0.336028287165	0.23325916092
m	0.0149404194919	0.0230232112119	0.0644250272543	0.239248452579	0.424373812722	0.233989124773
i	0.0132767371824	0.0194254459973	0.0423862199314	0.173123334093	0.475613590907	0.276174740924
</S>	0.0133010600479	0.0197862752686	0.0361383278657	0.115925505396	0.459321248453	0.355527677462
