 	ho	rotto	una	bottiglia	</S>
è	0.669454256	0.1374959159	0.060235595379	0.072159004247	0.0606552610759
g	0.544407149333	0.229947130633	0.0727882489897	0.0716966630371	0.0811607731482
l	0.450726448044	0.299260055378	0.0911454569566	0.0661700444074	0.0926979463652
a	0.369505858948	0.359623299626	0.123066102172	0.0656835748387	0.0821211620898
s	0.246582656449	0.443664237209	0.156956479124	0.0719733651484	0.0808232854566
a	0.183478584216	0.428637153736	0.225614776415	0.0718478710581	0.0904216807443
m	0.151088277625	0.321731611245	0.331654791005	0.0974262218054	0.0980991210984
i	0.0997094954283	0.211954090815	0.422869629202	0.124227793495	0.141238985879
a	0.0635170073028	0.122918124072	0.485287225734	0.168857926832	0.159419733253
b	0.0424069202876	0.083366859824	0.406802160778	0.323515564611	0.143908508304
u	0.0345410739559	0.0639206000547	0.271379931526	0.42002195587	0.210136497701
t	0.026058148192	0.0448458227716	0.213763010709	0.482255493623	0.2330776059
t	0.047911614644	0.0314272248105	0.181184750436	0.510651283208	0.228825111833
ì	0.0532735593947	0.0210369479635	0.134972509145	0.511484137336	0.279232786611
g	0.0237586016982	0.0185271453012	0.0959098968483	0.591313088712	0.270491255937
l	0.0582459236861	0.0234822948604	0.0902017658161	0.568653417571	0.259416615912
i	0.0753975863907	0.0230274124935	0.077243407472	0.49736301519	0.326968619371
a	0.0364786437809	0.0172664771378	0.060775292124	0.453563909063	0.431915709124
</S>	0.0239564533135	0.0152524086589	0.055187675712	0.420004399531	0.485599077562
