 	che	sapeva	che	non	può	fare	il	bagno	</S>
k	0.717992513	0.07522884195	0.0324632300671	0.0252875467985	0.0271930564217	0.0272689946494	0.0272723110455	0.0336767225623	0.0336168016493
a	0.549132518333	0.207681400317	0.0377930310265	0.027594257238	0.0293230008319	0.0308212825167	0.0312652019329	0.046411992673	0.0399773244293
ì	0.315078045578	0.439568626106	0.0405056835862	0.0279032091321	0.0295512846127	0.0307230017697	0.0322201366193	0.0466768755255	0.0377731121338
s	0.192226877593	0.520031730702	0.0743968538287	0.03225541673	0.0325582908848	0.033281023157	0.0311963735074	0.0422536731016	0.0417997423004
s	0.213424549131	0.400422040967	0.121807700096	0.0453313480093	0.045520367225	0.0389206900431	0.0319312326963	0.0532974641225	0.0493446361306
e	0.197363640044	0.340686116389	0.174992308985	0.0504749350797	0.0507875759713	0.0402500049728	0.034213293144	0.0570830425496	0.0541491278589
r	0.113273759881	0.36182319413	0.227798946328	0.0579441256999	0.0519243287886	0.0402661585158	0.0353501378791	0.0518400390915	0.059779346502
e	0.0748556457603	0.274742281377	0.333155186509	0.0815064851733	0.0492877618029	0.0375879793611	0.0348845276036	0.0487555771247	0.0652244975628
k	0.0590375120314	0.153004103859	0.424792869903	0.0902752047578	0.0696942752743	0.0384008513962	0.0522024415606	0.0475408298376	0.065051869835
a	0.0494096728018	0.097842195953	0.388219852368	0.156165689486	0.0860961241581	0.0383977269587	0.0649469635782	0.0463239682641	0.0725978703295
e	0.0377961820626	0.0615956960443	0.294834210589	0.250109044962	0.122112144453	0.0421333438329	0.0645049311007	0.0461163911923	0.0807980861983
s	0.0256400570309	0.0377613616081	0.181963922596	0.214276920254	0.245810462151	0.079648191831	0.0779903332436	0.0592344196653	0.0776743077602
ò	0.0214263178876	0.0295484312027	0.119361057399	0.162223931485	0.333074241384	0.10259561541	0.0886080420145	0.0695984708396	0.0735638394539
z	0.0175833212249	0.0249962274409	0.105914171866	0.152863649162	0.337504932328	0.109239989403	0.0958406877382	0.0773092337611	0.0787476667925
i	0.018653611228	0.0234405820536	0.0839634939353	0.125318058054	0.277687919776	0.159987450801	0.131773080046	0.0803767090864	0.0987989855035
k	0.018481898896	0.0213829820445	0.0558318647451	0.091325787938	0.243771513392	0.209797108334	0.151070292015	0.0886747170241	0.11966384683
à	0.0152565781427	0.0193940264215	0.040055698415	0.065808315166	0.221881003664	0.224527748778	0.177254626672	0.118372077455	0.117449897343
i	0.0146317655236	0.0187895067232	0.0305857113777	0.0513077175093	0.138633264455	0.184424418979	0.286676741891	0.178973532865	0.0959773063143
o	0.0131760327169	0.0149286920149	0.0219256844121	0.0352400160736	0.0746577742977	0.118227319593	0.38638907807	0.245536563155	0.0899188342381
b	0.0114272588427	0.0122123280335	0.0189351674776	0.0270157164324	0.0467939023719	0.076876201011	0.369667524263	0.315699206318	0.121372660479
à	0.00858276032957	0.0103096634992	0.0196840653372	0.0242750702901	0.0327681231506	0.0579116966703	0.282210369888	0.421749118506	0.14250912356
g	0.00715261306319	0.00928473812973	0.0177246713511	0.0221935187954	0.0243374219969	0.0498034463234	0.227402625296	0.485159272169	0.15694168492
n	0.00746104840766	0.00682022233278	0.0131928678337	0.0157095650398	0.027775668779	0.0531633495411	0.212113053765	0.48263290539	0.18113130224
o	0.00889102629053	0.00752284339726	0.0119176654952	0.0118838504598	0.025598772563	0.0483408780204	0.154925954388	0.467924813397	0.262994143013
</S>	0.00903954051432	0.00885623449283	0.0106919607596	0.0116342804037	0.0188838931865	0.0340252312702	0.101840893894	0.461429079098	0.343598810506
