 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.6945005384	0.0923246909	0.032429918208	0.0282693455135	0.0279839733905	0.027033780601	0.0298391698992	0.0357102400408	0.0319083080228
j	0.571645865467	0.173484761767	0.041719443388	0.029134092438	0.0295176472835	0.0272671879796	0.0389521580139	0.0437009910084	0.0445778120784
i	0.474823084889	0.249112017789	0.0456717652027	0.0300127287236	0.029950862523	0.0271385882483	0.0437770555397	0.0455500757553	0.0539637687075
n	0.36358524763	0.30151306193	0.0827525753142	0.0351926406608	0.0365639737049	0.0270084530717	0.0434993686464	0.0482127677407	0.0616719046437
è	0.213470340543	0.394332846377	0.149100675971	0.0346080864003	0.0373995878025	0.024281502672	0.0389417706226	0.0435423152439	0.0643229072754
k	0.179690500848	0.419172198792	0.174328664324	0.0385791931134	0.0369168608497	0.0301092057328	0.0312916887724	0.03427489169	0.0556368530394
a	0.166522804616	0.343353440931	0.254278403175	0.0435549476645	0.0394780670419	0.0339217829018	0.0306892476227	0.033229399479	0.0549718919852
p	0.105444599672	0.272640777644	0.334912050792	0.0689564433815	0.043641855558	0.0297831565287	0.0482881728165	0.0368836388107	0.0594493248821
u	0.0683844399573	0.196370829281	0.401314083864	0.0910234365272	0.0438469548927	0.0289062767801	0.0764581343178	0.035354247096	0.0583417183839
l	0.0513934697324	0.146513603894	0.449153007155	0.100311913976	0.0484287425376	0.0316680534366	0.0885010263122	0.0305958033772	0.0534344234877
i	0.0440677983441	0.119622401525	0.414871901985	0.153905015592	0.0545039050592	0.0336685017506	0.0968870025447	0.0288536996809	0.0536198387391
z	0.0358086714994	0.0908887764017	0.406380338128	0.180876208931	0.0635204876331	0.0440138247353	0.100435024434	0.0283222342245	0.049754518233
z	0.0295897993078	0.116642478201	0.367009462243	0.169830289644	0.091948991011	0.0491099977784	0.0856896805068	0.0339233072552	0.056256000029
è	0.0267412248793	0.1130307248	0.290118694148	0.242933168881	0.109017258937	0.0370899426995	0.0554377028885	0.0435110629966	0.0821202287289
i	0.0213629368624	0.0590556331067	0.217366517316	0.352158221627	0.137719422046	0.0337745940932	0.0486370272923	0.0410180709416	0.0889075143393
o	0.0193874911115	0.0431310657922	0.139313484705	0.375355762809	0.192525787149	0.0467768997644	0.0613420886414	0.0360396982705	0.0861276086721
s	0.0179600611005	0.0359761094807	0.114089018302	0.310525140603	0.267710513383	0.0745308483548	0.0574360817338	0.0409523456783	0.0808198921727
p	0.0129665303308	0.0904828853802	0.107895180634	0.212096998334	0.277598744461	0.0853867046849	0.0608195624313	0.0641247059258	0.0886288169709
ì	0.0106435721589	0.108039674353	0.0783234558113	0.183174461978	0.272303349154	0.104788864295	0.0611216382704	0.0791617038319	0.102443409021
t	0.010718043537	0.048335939259	0.0536759214704	0.195254052526	0.352459690451	0.113921861298	0.0665356587435	0.0608417574873	0.098257144915
i	0.0126218527697	0.028963938091	0.0376836738701	0.152857296155	0.326199733137	0.195467720899	0.0766223322012	0.0781115166624	0.091471965069
o	0.0140684013139	0.0219078925563	0.026937707188	0.0936541719717	0.211092467946	0.300969511206	0.113557430767	0.140543336747	0.077269160783
à	0.0127421556953	0.0197830526994	0.021913621494	0.0659381755972	0.177199382695	0.290782489709	0.156871702756	0.182219163576	0.072550393261
n	0.0141154802451	0.0212340691511	0.0271140472113	0.0598506835324	0.207317956898	0.250866021103	0.157990677785	0.174605502325	0.086905657967
t	0.0131392760437	0.0195057320444	0.0237980806038	0.0471146910708	0.188878390539	0.217334795001	0.210975511328	0.173599265202	0.105654284429
r	0.00854981205177	0.0375551483485	0.0129670453413	0.0293061462503	0.124630188406	0.21084910374	0.257447579776	0.195910511067	0.122784436343
e	0.00736899234264	0.0411535607328	0.0100992862588	0.0206365612168	0.079991524174	0.17226760502	0.232569749525	0.259455418422	0.176457179048
p	0.00686470423853	0.0194835706097	0.0105807360166	0.0193295959656	0.0548933972033	0.11142388056	0.244671612442	0.327656757741	0.205095688349
o	0.00645237859396	0.0127753581854	0.0108845677576	0.0189862942525	0.042122925858	0.080848642138	0.253129968034	0.360349501247	0.214450394783
d	0.00612794068883	0.0104076912962	0.0101745643726	0.0179657598315	0.0338510735895	0.063077977964	0.223666140231	0.387383303082	0.247345535594
è	0.00523744932268	0.00898189978273	0.00974250483153	0.0189900965138	0.0322992460165	0.059333662868	0.190316265944	0.413123671027	0.261975275198
g	0.00518356999189	0.00966535926558	0.0104154884945	0.0207865606733	0.0320968416922	0.0587910168093	0.156689597381	0.451025274342	0.255346385733
g	0.00518342624176	0.0170367211639	0.0109468729828	0.0214862452464	0.0410918489707	0.0678382013631	0.176945678994	0.435850359047	0.223620697578
h	0.00579428072419	0.0235513793906	0.0136593787756	0.0205414093461	0.0416284428102	0.0798300049477	0.211187779265	0.367709744616	0.236097618793
e	0.0074731388408	0.0181109055003	0.0142502888392	0.0175870287194	0.0296764758434	0.0618588802892	0.173804916688	0.336093095539	0.341145262198
</S>	0.0088950359381	0.0130595651822	0.0120763006406	0.0140409265397	0.0224271225517	0.0419419129646	0.132789341844	0.33900611477	0.415763652099
