 	sto	e	cucino	</S>
e	0.713948794	0.129930828287	0.06689222155	0.0892281382795
s	0.660391158667	0.172640811594	0.0682564205033	0.0987116357768
t	0.626257935556	0.176795565598	0.0779733636824	0.118973154574
è	0.500201034519	0.261171528133	0.101162900582	0.137464500718
c	0.31799971984	0.422849262044	0.138649310261	0.12050165539
e	0.193989834347	0.424011640015	0.20595463642	0.17604385813
m	0.134173254582	0.402439485338	0.244596192007	0.218791051177
a	0.103488626327	0.323303542913	0.275883070002	0.297324774659
r	0.0560503532023	0.175937383704	0.334479740667	0.433532532886
è	0.0406691924274	0.131939923435	0.365487628489	0.461903258762
o	0.0306716608825	0.103183335298	0.37334158643	0.492803494054
</S>	0.0245660675513	0.082506855979	0.366636372215	0.526290834027
