 	si	è	rotta	la	coppa	</S>
e	0.657624732	0.13597227682	0.07174133402	0.0401182385198	0.0509344440495	0.0436089743028
g	0.4711598751	0.217389627873	0.11373570114	0.0473701030703	0.093065400144	0.0572793426044
l	0.278120104733	0.243551107291	0.236374947847	0.0569228917388	0.118291396625	0.0667395689801
à	0.160373104844	0.226613367097	0.369366067282	0.0905547241063	0.0932457123617	0.0598470319667
s	0.0981461657147	0.218131256699	0.398876454427	0.144666649402	0.0851586882073	0.0550208275381
t	0.0957750836716	0.1950275999	0.329136832642	0.21566002233	0.101652068136	0.0627484292761
i	0.0933191069572	0.138095874567	0.252333621514	0.337875899839	0.0883814730987	0.0899940929976
e	0.0508126418684	0.0740575199717	0.179670434771	0.43340439928	0.156222444333	0.105832563679
c	0.025786165581	0.0355176464399	0.0895969720303	0.359177046227	0.389431619044	0.100490503466
ò	0.0174072496805	0.022995403298	0.0513064858234	0.246072899409	0.564402900348	0.0978150730887
p	0.013845052657	0.0179577018637	0.0346504912378	0.17204491387	0.651945040116	0.109556782963
p	0.0116606770239	0.0109752217045	0.0184550317882	0.105166870157	0.735702322705	0.118039838008
a	0.0108537624427	0.00852242542059	0.0120751183083	0.0974293007857	0.626430899368	0.244688499756
</S>	0.00969565179435	0.00919267768349	0.0128971923441	0.102485518993	0.488467489384	0.377261503878
