 	lo	posso	finire	di	scrivere	</S>
o	0.617041504	0.22014240255	0.043036576145	0.0403022468147	0.0403537785408	0.0391235304718
s	0.404636581	0.39872238685	0.0475968537917	0.0494812454947	0.04689229564	0.0526706519717
ò	0.2333738222	0.558281822283	0.0493574257792	0.0493632922084	0.0456387192529	0.0639849337126
z	0.158995909487	0.608652802094	0.0658751054084	0.0645406605223	0.0388848049082	0.0630508588429
o	0.132520990782	0.552925824698	0.126211787583	0.0789999432054	0.0434068920217	0.0659346540008
s	0.108786175127	0.475599882433	0.202094559394	0.0881454840825	0.0481966392292	0.0771772853113
p	0.089999208309	0.415428787678	0.228594648227	0.109529479711	0.051749924461	0.104697944043
i	0.0814236141697	0.298156667226	0.339661695705	0.113032035724	0.054716740893	0.113009216558
c	0.0561191556499	0.159626576675	0.511991319902	0.130278152975	0.0513706201257	0.0906141903803
c	0.0592330475166	0.125183312225	0.461757982367	0.153610488858	0.0718845920819	0.128330612878
è	0.0606369649455	0.128219956342	0.368787450056	0.187666615486	0.0738938582473	0.180795128919
t	0.0436768042485	0.111030146447	0.422807344885	0.225140288762	0.0531694337624	0.14417592498
s	0.0647067149495	0.128247470682	0.356014788495	0.241971604521	0.0712525785608	0.137806853765
i	0.0619202096898	0.110018428027	0.189415456632	0.31296080284	0.12931278146	0.196372326753
à	0.0291603980206	0.0489925494223	0.111190145144	0.427699379347	0.18053782642	0.202419697451
t	0.0187617706202	0.0344002889874	0.108791256915	0.440235911116	0.219795458607	0.178015264817
s	0.0439593457761	0.0421540964891	0.100435496038	0.340242871505	0.231620913402	0.241587194039
e	0.048875989678	0.0354784324364	0.0529472914927	0.216619343515	0.292279337801	0.353799578646
g	0.0214684440111	0.0179789783721	0.0309751131309	0.143500372718	0.419059233267	0.367017892882
r	0.0122807365235	0.0191675739394	0.0270427771443	0.120985621479	0.538194468422	0.282328850534
à	0.0086968645525	0.0195759309818	0.0224400893954	0.0979203065997	0.611743573474	0.239623230418
t	0.00749169991483	0.0128928044406	0.0168658971318	0.0896526624666	0.580698123158	0.292398798139
s	0.0108239458889	0.0136745055469	0.0142813653839	0.0888668841555	0.534117815719	0.33823552358
i	0.013273558567	0.0200424793023	0.018194617268	0.0864514838518	0.45976510924	0.40227279606
</S>	0.0114597179135	0.0232740132011	0.021955496434	0.0868290522259	0.39590099662	0.46058070803
