 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.690956277	0.106408859201	0.0299873027245	0.0301446151908	0.0275740215876	0.0270216310861	0.0287373826903	0.030516548396	0.0286533396809
n	0.4989848906	0.2271026806	0.0594519155898	0.0312503846446	0.0345807215733	0.0309924615205	0.033323772411	0.0409573134591	0.0433558985807
è	0.300048265933	0.392891655133	0.0866907113966	0.0304468699715	0.0371523315546	0.0314609459512	0.0327644875267	0.0420163171433	0.046528496557
n	0.209847010464	0.476584362044	0.110015700399	0.0320833253405	0.0365552010597	0.0299530250564	0.0300778893592	0.0372045769631	0.0376789801666
a	0.147527825175	0.415463013281	0.214317113133	0.0456394727735	0.0408036099232	0.0301405405083	0.0302775833728	0.0370629749524	0.0387678841795
m	0.098438940865	0.252588576027	0.338839454378	0.0930737272112	0.0511501315104	0.0379413341673	0.0387667000322	0.0374756104392	0.0517254689481
i	0.0712650168617	0.146142957209	0.380907982126	0.161404046737	0.0596048195435	0.0418992537524	0.043232651059	0.0388043462861	0.0567389109379
l	0.0629524371832	0.109181319576	0.394087167709	0.185239852179	0.0724515094545	0.0403103398521	0.0432309761812	0.0402110486568	0.05233536966
ì	0.0544588261504	0.0912826224987	0.356331145103	0.215600930993	0.102478204018	0.0411257468307	0.0422181650676	0.0446684400701	0.0518359446169
s	0.0529931755435	0.0863580877662	0.304361364234	0.232716996864	0.138500154139	0.0430050362669	0.0393771653148	0.0462011419315	0.0564869312474
i	0.0515495076612	0.0750624518554	0.242513963145	0.278288478821	0.169006344846	0.045951861549	0.0411314136469	0.0387693047267	0.0577267108568
m	0.0458508367297	0.0613684323318	0.145142785848	0.320327704874	0.206825060949	0.0596458733097	0.0552502055158	0.0413019149783	0.064287245053
b	0.0343079533392	0.0640532536239	0.110306022949	0.270699096758	0.22749998525	0.0776103107099	0.0715703019739	0.0583825402419	0.0855706189627
r	0.0294013158171	0.0715106711146	0.100220212716	0.266598842119	0.24956221555	0.0847478671526	0.0637234955138	0.0556637476676	0.0785716619688
ò	0.0286811059617	0.0573903052849	0.0866450574387	0.27267168364	0.284998747783	0.10431821708	0.0631500388117	0.0418676545543	0.0602772367203
s	0.030948188645	0.042691159395	0.0763459969462	0.22103317668	0.329734653661	0.128147719427	0.0659830618172	0.0400565337748	0.0650595920592
t	0.0347061972874	0.0445930283383	0.0671547836487	0.160190142027	0.33421723122	0.155378374589	0.0661052193057	0.0649028637143	0.072752196678
i	0.0329255278818	0.0456740525214	0.0539392682829	0.115799966009	0.26027809734	0.24121168631	0.0904848806352	0.0842617025241	0.0754247799
n	0.0282425996879	0.0348316694758	0.041882403861	0.086722857693	0.188659781847	0.338517277437	0.115983994345	0.070568077366	0.0945912924233
A	0.0243028333626	0.0289158861306	0.035741107547	0.0742716614877	0.134558576816	0.352029619146	0.143825712182	0.0716881526333	0.134666415568
n	0.0194084854215	0.0221958701989	0.0304018219623	0.0639368751226	0.112768728005	0.316626354715	0.194309670061	0.0945706543198	0.145781491197
n	0.0260960587545	0.029277265863	0.0326887412641	0.0608824692875	0.0970562812017	0.293480244705	0.200075262954	0.118825213435	0.14161851239
a	0.0267909495575	0.0299239800877	0.0279501766847	0.0483285785225	0.0615527207272	0.249223222302	0.208157850585	0.168122084298	0.179950492503
à	0.0140118340205	0.0153991079912	0.0159240855702	0.0255050974428	0.0393714361224	0.199878206167	0.252585008862	0.257522099766	0.179803113074
t	0.00951118813417	0.0106790418057	0.0128174654054	0.0218407472296	0.0386767497275	0.176358088189	0.307982221621	0.290628190322	0.131506351398
s	0.00991690990472	0.0183012388486	0.0171175959851	0.0227078872899	0.0420096640092	0.140056627396	0.331733217207	0.263029048307	0.155127844266
e	0.00914674279891	0.0196307407155	0.0162769497117	0.0170684809566	0.0323607801964	0.0909518208987	0.278935050069	0.308901655236	0.226727757755
t	0.00622675375564	0.0114321877005	0.0102577697332	0.0112334110089	0.0203537422588	0.0589226116462	0.23423305169	0.408444375745	0.238896101652
ù	0.00462721314455	0.0078859055355	0.0072812564304	0.00874721773963	0.0145270260796	0.0426114189754	0.183996806963	0.492714345915	0.237608823617
o	0.00773485167998	0.00896103777783	0.00932333732813	0.00980745336654	0.0127041677065	0.0354314153518	0.132034389654	0.508531307972	0.275472063872
</S>	0.0106721346867	0.0114023417889	0.0121945865861	0.0116800533433	0.0136330371333	0.0386040459459	0.118687054227	0.485253884986	0.297872896936
