 	ancora	non	mi	sono	vestito	</S>
a	0.718248004	0.09709727238	0.0503749024663	0.041666409174	0.0467484242826	0.0458649981614
n	0.644831675333	0.147783836313	0.0506900640263	0.0445393142258	0.0497986312751	0.0623564961301
k	0.514051487778	0.180284654771	0.100783791622	0.0621215851086	0.0577769373758	0.0849816086133
ò	0.435219684593	0.202255478124	0.134460300507	0.0873809030762	0.0568976179159	0.0837861119545
r	0.389372048198	0.259371776708	0.129950278789	0.0948299397321	0.0503119832993	0.0761640971359
a	0.289337597733	0.258481646903	0.234865365396	0.0891569301774	0.0471714682251	0.0809871056313
e	0.153842005871	0.217103019968	0.320891529799	0.154016107126	0.0494851670237	0.104662224612
n	0.10287436945	0.153874750723	0.296128641933	0.220416436375	0.0827188156079	0.143986996537
e	0.0843294768433	0.108280921908	0.236088904111	0.256078912125	0.149266685869	0.165955147179
n	0.0656150077278	0.0705540671693	0.18478436617	0.278724274708	0.22007285509	0.180249474526
d	0.0630067920026	0.0512302604564	0.163359568057	0.246883452369	0.270908579497	0.204611280442
ì	0.0573679260275	0.0332484294721	0.109568716419	0.264390998923	0.305798998499	0.229624870047
s	0.0321707472198	0.019510033944	0.0705481345397	0.316552292308	0.331261810166	0.229957014782
i	0.0204531688093	0.017076714568	0.0623812071799	0.245453116503	0.389035259389	0.265600552461
m	0.0145168812751	0.0139702552727	0.04590069559	0.130351184501	0.47030033113	0.324960658954
o	0.0123392472533	0.0116029397422	0.02967819944	0.0829147655003	0.495960634377	0.367504254051
</S>	0.012865375479	0.0128246937031	0.02414274879	0.0633124878502	0.489625563189	0.397229170026
