 	devo	comprare	il	pane	ogni	ogni	giorno	</S>
è	0.6899098216	0.081578741563	0.04281877996	0.0353444541856	0.0327018610153	0.0291003691748	0.0371768886097	0.0513690107298
n	0.5423885172	0.220435766388	0.0427158086867	0.0341940192589	0.0356702641626	0.0325896551312	0.0414329465683	0.0505729364758
a	0.322368377733	0.406114904529	0.0716642014956	0.033869222493	0.0348155525974	0.033295743457	0.0427319572072	0.0551399974609
v	0.166655760378	0.41059561401	0.132210965165	0.0886083465777	0.0475564116123	0.0401689861955	0.0428135730257	0.0713903211641
o	0.0992084787927	0.311338231837	0.242873488388	0.113321682926	0.0533042662823	0.0453932930899	0.0408493605118	0.0937111711929
r	0.0723675048642	0.262586281612	0.294935912129	0.0979937201753	0.0620242897723	0.049927614168	0.0438286442833	0.116336020212
à	0.0610329482214	0.222375691871	0.30312428071	0.127545061125	0.0743261334888	0.0535189199641	0.0437998491264	0.114277113139
s	0.0550205592871	0.21259653529	0.334590352903	0.144221111908	0.0751148371943	0.0516732500562	0.0386675639227	0.0881157566398
o	0.042065069809	0.170958044897	0.329025510301	0.193742314703	0.0807338558314	0.0591778459854	0.0307293508493	0.0935679308619
o	0.0332210791394	0.0889997037323	0.297812180767	0.262506101568	0.0868150435771	0.0760829287218	0.0267329104086	0.127829997824
t	0.0314803666022	0.0511065804774	0.230080217589	0.335019155189	0.103200325126	0.0858835301739	0.0352922154363	0.127937640475
s	0.0286507802401	0.0311645330325	0.183651292996	0.39817041933	0.125005860975	0.0903742013246	0.0432472746286	0.0997357042083
o	0.02091066776	0.0230899433042	0.143551107932	0.316814961577	0.163178713325	0.121218763375	0.0847109320794	0.126524987366
m	0.0141195691	0.0171714432014	0.082761033644	0.234654113126	0.186531633842	0.147297064592	0.149105371226	0.168359816309
ì	0.01296191272	0.0177010296138	0.0570669816147	0.190052677175	0.221607872681	0.163934030331	0.166614799609	0.17006071901
k	0.0146200595933	0.0177719560713	0.0479048218716	0.143727167058	0.271580425094	0.15480360111	0.150960423003	0.19863156811
u	0.0161917738524	0.0160322862371	0.0354717635372	0.117197819586	0.249226892231	0.16573476337	0.164004178934	0.23614055817
à	0.0139862560015	0.0153520410824	0.0259768518991	0.0638825648953	0.222993033744	0.202963615923	0.225866915178	0.228978732257
i	0.00984382213317	0.0123617103561	0.0173811265064	0.0391530041118	0.189852410955	0.213390683021	0.308550549059	0.209466688952
k	0.0100197607971	0.00908513646003	0.0153777056221	0.0353072200173	0.133756305025	0.223256535254	0.363756421686	0.209440877584
u	0.0103224920177	0.00760138848721	0.0144438134894	0.0308785751814	0.087564065017	0.204076576285	0.398691628562	0.246421370528
à	0.00923906014657	0.00885956677094	0.0119592438511	0.0192470041428	0.050411077581	0.162699054195	0.470892174187	0.266692774843
i	0.00878258842839	0.00976102847431	0.0111819231657	0.0149230553076	0.0377392233737	0.128517530038	0.529223160729	0.259871509614
m	0.010601599167	0.0082321304881	0.0140714680592	0.0188096247472	0.0360323508712	0.115064678486	0.523817959576	0.273370280538
è	0.011088276845	0.0100865585994	0.0174959495304	0.0206546347137	0.0396043336437	0.103619842095	0.505329507859	0.292120964179
r	0.00938399286167	0.0118366080498	0.0153305271381	0.0164039982099	0.0335812107546	0.0903484332317	0.488829639286	0.334285588726
i	0.0104538336086	0.0106494861076	0.01327297248	0.0148774145791	0.0243769698869	0.0680383666772	0.434629685095	0.423701272242
</S>	0.0123625472963	0.0119035061853	0.014276631143	0.0151032804053	0.0207708124164	0.0493284137386	0.393529986547	0.482724844121
