 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.583917952	0.06288223444	0.084192982523	0.0690902477367	0.0904094363589	0.10950727144
c	0.555192689533	0.14695960104	0.0666798247163	0.0593152448127	0.0807915781915	0.0910611118412
h	0.480884389711	0.271475648213	0.0740323925721	0.0502053614336	0.0593965120404	0.0640057113883
a	0.43965826177	0.341814668271	0.0696135803907	0.0451826216514	0.0487605089254	0.0549703958369
n	0.38641466479	0.39917254209	0.0551324260636	0.044944671004	0.046410909785	0.0679248061241
a	0.28141173273	0.46137016403	0.0766767268212	0.054202161508	0.0426525592475	0.0836866690513
v	0.15697829809	0.434530883577	0.138625283474	0.120952810043	0.0448784677465	0.104034266607
o	0.0947628245433	0.369344400092	0.198530442491	0.151847630881	0.0464653724187	0.139049335248
r	0.0667584662211	0.358308002697	0.231212034164	0.13550700476	0.0535340031615	0.154680548895
à	0.051119466447	0.295058317432	0.307674759388	0.140053140387	0.0588247502318	0.147269667619
s	0.0496972598157	0.271154247011	0.365663745796	0.132493021596	0.0478818151286	0.133109947841
o	0.0409975286986	0.227866514004	0.364895409932	0.188432661465	0.0538270469749	0.123980843832
t	0.0304780051529	0.122327478135	0.442707758644	0.218959992155	0.056756817917	0.128769948196
s	0.026533604925	0.0792419716619	0.513234288881	0.200525479718	0.0545082590603	0.125956412384
o	0.025310360549	0.0541326691042	0.40074503856	0.230727737439	0.120806098775	0.168278154646
m	0.0168819458163	0.0305270718881	0.279467042853	0.248246571346	0.206446435858	0.218430969122
ì	0.0152128860854	0.027831001236	0.203203260484	0.293362581115	0.241419256219	0.218971032574
k	0.0151175767751	0.028201208832	0.139146287295	0.328479507705	0.259424513406	0.229630931391
u	0.016083779185	0.0232482375993	0.111431849232	0.262050763102	0.294723817802	0.29246159313
à	0.0157182531457	0.0185546328818	0.0630211738107	0.182416699167	0.408477002601	0.31181224891
i	0.0114013923039	0.0139040979626	0.0376485177369	0.129089645596	0.521367753534	0.286588598837
m	0.0105959438926	0.0125966828229	0.0411021551323	0.109931159472	0.544029696511	0.281744380946
è	0.00974016883287	0.0149571918456	0.0424417816641	0.107397414157	0.532791331504	0.292672111982
r	0.00877082014096	0.0149320532052	0.030099748144	0.0841783880523	0.526139741835	0.335879222327
i	0.010208684027	0.0124602689311	0.0239533157893	0.0559985480441	0.452687694612	0.444691454776
</S>	0.0120225456915	0.0127514725415	0.0207421480227	0.0425108085621	0.378727306306	0.533245692388
