 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
M	0.595820215	0.09247368573	0.049777867807	0.0415510554436	0.0424350319471	0.038380766259	0.0410536285879	0.0425774962303	0.0559302533403
a	0.485552827467	0.146573520697	0.0556601694296	0.0472754813703	0.0464971223679	0.0446522160528	0.050333602898	0.0528845643814	0.0705704509592
r	0.369762054822	0.244634058752	0.0779464494191	0.0490301705061	0.0433366650147	0.0449550788281	0.0481251381863	0.0514941813654	0.0707161697276
ì	0.256789886141	0.373360459784	0.10640492734	0.049054752382	0.037052622308	0.0404737180289	0.0387239026887	0.0406994766833	0.0574403002156
s	0.21902383098	0.423811357261	0.116707348713	0.056434349434	0.0350798005658	0.0382636517685	0.0314811108715	0.0323845308766	0.0468140598976
a	0.17684565186	0.424822061354	0.156661408504	0.0622738940847	0.0360378831053	0.0380906558946	0.0286866702587	0.0300620220178	0.0465197519976
e	0.1064349886	0.355397053118	0.267001651168	0.0863788690482	0.0401674165311	0.0358788298506	0.0295667609791	0.0319299827881	0.047244415147
N	0.112894725713	0.229933270373	0.299309410389	0.146670911123	0.0521899663164	0.0371262327129	0.034291674947	0.0359190980173	0.0516646942983
ì	0.111883051304	0.171721247324	0.289721854796	0.184617759508	0.0728007421121	0.040287846679	0.0345995200797	0.0343055528764	0.0600624448236
c	0.0650567339013	0.151007334508	0.328765556265	0.184450346369	0.0847593516174	0.048289868461	0.0345283014972	0.0321977427095	0.0709447243736
h	0.0453414398098	0.140361507703	0.285557860888	0.250231412656	0.0849178538458	0.0537255579731	0.0387182697677	0.0336704059562	0.0674757064357
o	0.0317349559553	0.103356867654	0.180501400163	0.297514006885	0.168197212449	0.0709021547504	0.0485885672846	0.0327023400451	0.0665026151984
e	0.0219709011702	0.060674150818	0.116533280454	0.235862309895	0.25854321615	0.0949840707168	0.0713703600949	0.041403758535	0.0986580861068
n	0.0215043717685	0.0445315968193	0.124049177485	0.160222398365	0.230224333783	0.122343631172	0.100601085498	0.0596070447783	0.136916458869
è	0.0255123485722	0.0493817943064	0.138078659695	0.117946217322	0.174600737194	0.173296104057	0.121253871166	0.0622794019928	0.13765086933
c	0.0242638514707	0.0466655394755	0.112274617832	0.0977574662407	0.134578902665	0.228776292952	0.150279717055	0.0636354679976	0.141768008997
h	0.0218204009502	0.0543441542785	0.078187583744	0.0990249053469	0.108922083022	0.268338405917	0.163233643685	0.0650405247992	0.141088148006
u	0.0166421314127	0.0515546992595	0.0482116074613	0.0891953157423	0.124644501107	0.247245179906	0.179548612495	0.0728774258664	0.170080553862
n	0.0116910058136	0.0240407695885	0.0290789076738	0.0529514349608	0.113113400002	0.190937718702	0.252596936098	0.107805755289	0.217784111121
f	0.00905595438653	0.0214839981915	0.0224608748913	0.0428314498736	0.068936937034	0.155294582901	0.313847450033	0.139535471096	0.226553224307
a	0.00566792419351	0.0185507172961	0.0144490556751	0.0312693733405	0.0515674765953	0.114847566714	0.311447931678	0.200994255699	0.251205650302
m	0.0049986033121	0.0121136682823	0.012150813977	0.0232014532995	0.044198804865	0.075607647098	0.293698951559	0.260403902433	0.273626135567
è	0.00669393285563	0.0128943602388	0.0156893419663	0.0251012881698	0.0438563689376	0.0632994404127	0.265448075186	0.292817560011	0.274199658456
n	0.00862894311654	0.0132361612009	0.0161645905421	0.0224782632379	0.0385789870005	0.0574700207309	0.262103473729	0.312369673337	0.268969950552
a	0.00726650943951	0.010818594786	0.0118455612547	0.0161042276583	0.0268298550735	0.0408235709903	0.217556912643	0.372644179112	0.296110651184
m	0.0058412063305	0.0099139896462	0.0110786947756	0.0170114868324	0.0263331785158	0.0298725491434	0.153091172281	0.433116046371	0.313741671328
a	0.0055596149231	0.00953410173476	0.0109773836192	0.0174851877686	0.0244273343106	0.0241209342811	0.123602206494	0.480107813457	0.304185378043
i	0.00645462035457	0.00902018532248	0.0102720805572	0.0122600578733	0.0169244025759	0.0183659083277	0.0766194251647	0.509342464486	0.340740899348
</S>	0.00775611001019	0.00963696075824	0.0108195375587	0.0115968964486	0.0147466387476	0.0174494436548	0.0637212414824	0.487466432243	0.376806839674
