 	se	vuoi	restare	sempre	magro	non	magniare	la	sera	</S>
a	0.5050049616	0.2606280736	0.035988823459	0.0285150415507	0.0275067406248	0.026686913949	0.0273626615123	0.0278224736036	0.0302477745521	0.030236499454
t	0.351939383733	0.3941069492	0.0359559614257	0.0306989262707	0.0292421230781	0.0261936127664	0.0284014190771	0.0288784381104	0.0342559339976	0.0403272384181
e	0.251330244511	0.4773343024	0.0401702413419	0.0313285225851	0.0322439499668	0.0263151032079	0.029034507547	0.0291992415347	0.0381773491518	0.0448665464092
l	0.19381357609	0.4948159664	0.049717555314	0.0387540221099	0.0374647500604	0.0262028301062	0.0336360659301	0.0321201118604	0.0445422936425	0.0489328264581
ì	0.141369051483	0.462409483733	0.117637156038	0.045398873056	0.0417915737131	0.0247636070556	0.0403149693821	0.0328685198316	0.0419934366718	0.0514533281664
s	0.119992575761	0.424855855578	0.174262484146	0.0413125301781	0.0467045564227	0.0284210654121	0.0438980213773	0.0349207552761	0.0348841539329	0.0507479953539
i	0.111829420787	0.411960721193	0.200236791182	0.0359686367294	0.0490723065593	0.0305972900541	0.0395414763556	0.0353462630292	0.034868964665	0.0505781122419
n	0.0898001801223	0.364001817398	0.272395026994	0.0463362421998	0.0594038515995	0.0277057426878	0.0316744103334	0.0297782999873	0.0325605857644	0.0463438030266
a	0.0703243855674	0.269270323133	0.360242782598	0.0608684339333	0.0732491678121	0.0271945990979	0.030100790951	0.0281353991085	0.0333617898429	0.0472522773823
m	0.0616333806289	0.174431979978	0.382916307533	0.108155962378	0.0856304108163	0.0298446749726	0.0409936120846	0.0327152997865	0.0334830808121	0.0501952694578
ì	0.0505989948027	0.120679620306	0.377243727444	0.161325660526	0.100379761473	0.0310751122255	0.0454477037832	0.0312958328543	0.0312012374671	0.0507523036952
n	0.0462663324656	0.110217648415	0.418400894748	0.164489060842	0.0968265560257	0.0291188898365	0.0365429637289	0.0245292797249	0.0282667865746	0.0453415758385
i	0.0454943570932	0.0933199683383	0.348702669583	0.248351350281	0.0995024659552	0.0348895191962	0.0382416481735	0.023167470246	0.0251893013443	0.0431412070642
p	0.0393300699939	0.0664472473221	0.210795236994	0.36864075676	0.126806585998	0.0405671279365	0.0463766937576	0.0262220814071	0.0256788434903	0.0491352669182
à	0.0338598427915	0.05066599143	0.151346267798	0.40474454692	0.156848236199	0.0470903208626	0.0510028043249	0.0255072195177	0.0273431404041	0.0515916473655
n	0.0302493654063	0.0481705431313	0.146179358266	0.401528416307	0.1749654536	0.0520858867602	0.045906855084	0.0208199493012	0.0267590081746	0.0533352099515
t	0.0388169767277	0.0446567242451	0.141544622155	0.360538622769	0.194654223533	0.0526171722801	0.0542850095947	0.0272857843624	0.0275835204342	0.0580173721572
a	0.0403913372932	0.0447715219964	0.115184756685	0.304162982256	0.220545205711	0.06133251802	0.0767957182449	0.0338343490561	0.0326722848185	0.0703093443718
l	0.02788925809	0.0397495789948	0.088633835995	0.270601770085	0.262638377437	0.0695016121747	0.082166476515	0.040165884552	0.0350706290116	0.083582551582
e	0.0254773098553	0.0351943917543	0.0726210111983	0.224014464695	0.275046717546	0.0945674994996	0.091372019425	0.043359280584	0.0403821346558	0.0979651044316
t	0.0205831895838	0.0280517493858	0.0628501813108	0.163300226298	0.283284271449	0.111749929393	0.130243032075	0.0545165080613	0.0461456953919	0.0992751557092
t	0.0117194489884	0.0208360612619	0.0502606149949	0.113152553833	0.355292412883	0.087938303591	0.145362484692	0.0739275228204	0.0472156095706	0.0942949928584
ò	0.0103971123852	0.0230562134542	0.0475795703783	0.0930216830777	0.322619268628	0.110054518364	0.160685269497	0.0845892176735	0.0475217976635	0.100475352297
m	0.0100575348711	0.0193774835694	0.0490335699261	0.0911448528926	0.235392860209	0.133737834095	0.202283928899	0.0909157760912	0.0525244586545	0.115531667976
i	0.0100741228654	0.0160316174431	0.042153943262	0.0740290817642	0.18258768007	0.127113704872	0.214606593166	0.119713512497	0.0706691880848	0.143020471085
f	0.0101271390617	0.0132362690657	0.0321501259187	0.0566753113881	0.150209751357	0.106902658151	0.223582696189	0.156660708699	0.100297724295	0.150157543828
à	0.00869261607523	0.011072452195	0.0275048695842	0.0499604347294	0.132203221986	0.0725809543103	0.261379147863	0.1639640883	0.108561367565	0.164080889776
i	0.00862241875828	0.0111425123375	0.0263787987814	0.0413608185165	0.0810890858353	0.0698542505968	0.243759842621	0.2049161915	0.119352074922	0.193524039825
t	0.00871165925836	0.00920922119823	0.0231699894625	0.0317314582855	0.0585920352918	0.0594372878456	0.19119731054	0.2645840525	0.177694852374	0.175672111075
o	0.00848592896712	0.00789909727448	0.0171517904408	0.0255669489052	0.0422462917859	0.0398067695852	0.136387621093	0.280291071767	0.270262274658	0.171902173225
v	0.00731214766717	0.00714576859749	0.0149029332249	0.0213568106504	0.0236355472773	0.0267232813517	0.0791365669443	0.266959991856	0.350769948886	0.202056974942
r	0.0045176661773	0.0047794878425	0.0117877300116	0.0166089010488	0.0234349231791	0.0159921214306	0.0526699876948	0.249397864085	0.416085678295	0.204725619881
à	0.00360122262601	0.0045401014835	0.00825439090587	0.0125901205483	0.0207384969197	0.0124070312102	0.0425460522783	0.225823319228	0.449974849298	0.219524416127
i	0.00599831174014	0.00704904203317	0.0103823419973	0.0135821235508	0.0139189322792	0.0135841751914	0.0397260158461	0.194678857943	0.436966879633	0.264113343176
</S>	0.00735973279827	0.00844930925358	0.0118231034836	0.0132460189094	0.0129113941886	0.0130580100377	0.031431733053	0.181467221171	0.428491222816	0.291762279588
