 	voglio	che	Maria	viene	domani	</S>
t	0.733080901	0.072378744127	0.0465172299268	0.0451628495316	0.0556148286673	0.0472454835593
è	0.679761596333	0.109179421622	0.0560494929504	0.0442878386245	0.0602263133323	0.0504954244899
l	0.531774528111	0.205046715741	0.112116129139	0.0408439417379	0.0579068134281	0.052311943425
o	0.33756606137	0.370536525514	0.123909352661	0.0368516773816	0.0614244999489	0.0697118880706
e	0.195370937223	0.385378432771	0.197547845394	0.0353800887684	0.0802657106233	0.106056973522
M	0.138420566708	0.265897374257	0.307572931353	0.0538756450961	0.106685634331	0.127547886186
a	0.124529205769	0.265830957286	0.261650695339	0.0801427867454	0.106643918037	0.16120250035
r	0.079947483483	0.278927745429	0.19740372668	0.105915470428	0.121216440346	0.216589158365
ì	0.0724744394543	0.240883816876	0.265110131327	0.0929798738093	0.138164884455	0.190386843708
a	0.0651375263488	0.198531550765	0.322966459276	0.123007734716	0.160594575425	0.129762146676
n	0.0458381055723	0.142627803995	0.281009216725	0.230738032085	0.190841462142	0.108945397612
a	0.0397881823641	0.106841296368	0.227585119495	0.289527022382	0.194960371281	0.141298023604
r	0.033065917576	0.072385951576	0.145545118485	0.331278668681	0.201250506794	0.216473872135
t	0.0805276958387	0.039555725676	0.0863721262083	0.308668510174	0.212260344865	0.272615631045
i	0.109853690756	0.0406932992353	0.0714843402828	0.211349156738	0.258404176422	0.308215309348
à	0.0565840570573	0.0370705967111	0.0601027293543	0.139565429679	0.415106939474	0.291570201049
v	0.0239202035424	0.021136715593	0.0401293388581	0.103403377326	0.513964713825	0.297445703016
v	0.0663061804501	0.016149437471	0.028915677028	0.0934227738133	0.473301263982	0.321904757472
r	0.135578547838	0.014975871283	0.0218100019491	0.0759344120024	0.408440743011	0.343260436757
i	0.111843227486	0.0196233900223	0.0209270468501	0.0493437092275	0.33026496558	0.467997632519
</S>	0.067922425694	0.0214023573242	0.019783677859	0.0367642625137	0.29608195519	0.55804528126
