 	che	vende	buon	pane	</S>
k	0.745744501	0.0848074253	0.052382979914	0.0580440823948	0.0590208997046
a	0.670493259667	0.1457754155	0.058728776083	0.0546717554682	0.0703307024827
i	0.460297565222	0.3558400265	0.0670582802493	0.0439611299865	0.0728429795387
p	0.235505652874	0.486348722833	0.146105330449	0.0506651931939	0.0813751037076
u	0.167463293425	0.481649009611	0.204296701503	0.055867715988	0.0907232717579
l	0.140675595208	0.48378589187	0.231700670968	0.0551685710193	0.0886692116813
ì	0.111000640469	0.413894004623	0.301861087523	0.0610603276064	0.11218386314
t	0.0983159365763	0.379402581541	0.336760344374	0.0552070339355	0.130314096353
s	0.0809166896788	0.333783527847	0.345862686125	0.0859364592765	0.153500685595
o	0.0699096250396	0.206634258682	0.331789345375	0.170003816457	0.221662955376
m	0.0467887749732	0.111683445827	0.269862152858	0.319858694152	0.251806908925
ì	0.0261766487931	0.070754726609	0.188417378619	0.469690027384	0.244961213908
k	0.0219138974424	0.0655795379497	0.136557579606	0.533537348461	0.242411699303
a	0.0192806601808	0.0544005729699	0.137353742269	0.520414665487	0.268550466434
l	0.0138140025096	0.0324507880166	0.120044170436	0.529345367162	0.304345705478
ò	0.0114761557511	0.0308658135629	0.0924377765053	0.521439946387	0.343780355159
</S>	0.0114386052393	0.0344461781374	0.0980572884726	0.477507299193	0.37855073158
