 	Marika	tu	hai	mangiato	</S>
M	0.584704179	0.099187398505	0.082770198244	0.089158195563	0.144180107607
a	0.528100251	0.129579582812	0.08230856526	0.104521780313	0.1554898822
r	0.417836675333	0.235825947577	0.0846398673293	0.102703302574	0.158994178551
ì	0.283518779911	0.360482743859	0.126118585376	0.0865766756433	0.143303134556
k	0.224744065037	0.379893889686	0.160312119125	0.0781395340264	0.15691032775
a	0.148700980146	0.329478290762	0.246973321042	0.0738241925955	0.201023190908
e	0.0738584644687	0.245368680454	0.349897643014	0.140448701172	0.190426530679
s	0.0384496942296	0.164768046205	0.396673197205	0.218267453657	0.181841635293
ù	0.0265563064432	0.111282226495	0.339264989868	0.336845765152	0.186050706431
è	0.0226483404144	0.0670729509103	0.204944579089	0.562643931051	0.142690188844
f	0.0204701867785	0.0462124075888	0.14683175593	0.676747949017	0.109737709515
e	0.0186461003732	0.0388345649363	0.10182527601	0.656754215006	0.183939867838
</S>	0.0147138355266	0.0350377941081	0.068808615505	0.631430866503	0.250008923919
