 	vengono	vestiti	</S>
è	0.805895869	0.08873167611	0.105372454974
r	0.754889595667	0.12150283629	0.123607612365
k	0.674019499889	0.15280672221	0.173173852827
u	0.476792863496	0.335994741003	0.187212396408
t	0.286041840699	0.509287910334	0.204670267163
t	0.267401719233	0.471103885445	0.261494467228
e	0.203199052144	0.487948421815	0.308852639249
n	0.091923264368	0.532502514272	0.375574329083
d	0.0626542559093	0.510365885757	0.426979882094
i	0.0529619999698	0.414362406586	0.532675600431
m	0.0370932641299	0.326965791829	0.635940967477
è	0.0527655981833	0.337862542243	0.609371873826
n	0.0902915586611	0.324927943414	0.584780465275
a	0.0850053806204	0.245485640471	0.669508920425
</S>	0.0609322307102	0.203305821236	0.735761906213
