 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.658314341	0.14590741898	0.0579794290694	0.0447013764899	0.050586549371	0.0425109288777
s	0.483114727667	0.28743602686	0.0806758447141	0.0471398777629	0.0566771824163	0.0449563844244
o	0.300253228556	0.443460284953	0.111102033371	0.0446759649498	0.0540085941536	0.046499889857
s	0.187753734252	0.435027188318	0.211137272457	0.0476613889121	0.0609770151184	0.0574434006795
e	0.131803464351	0.324248468106	0.358070299886	0.052092644424	0.063706014186	0.0700790769354
è	0.109084820944	0.216356686635	0.473273507295	0.0713485629813	0.0502099175624	0.0797264249123
m	0.0812473387613	0.131040658345	0.478955109765	0.157881946327	0.0482790423789	0.102595809921
b	0.0729303454071	0.0923314721817	0.418910385522	0.217875582596	0.0676321371472	0.130319967112
i	0.0683702600424	0.0788628731272	0.331176668107	0.313172218419	0.0751109807519	0.133306894789
à	0.0493440811341	0.0587676199424	0.206862475436	0.45304841214	0.0950101919173	0.136967139477
t	0.0374230200847	0.0437652944384	0.152164635945	0.487389036047	0.118517072639	0.160740910626
t	0.0310700410082	0.0523890349704	0.154249889115	0.442056352149	0.150302577752	0.16993210238
i	0.0255408610427	0.0521072058368	0.123230815538	0.32196972045	0.266501568789	0.210649800211
f	0.0223607265009	0.0328062404743	0.0661819610793	0.238988683417	0.376620081596	0.26304228727
i	0.016923714077	0.0206001488881	0.0399549802264	0.167586445739	0.466857989199	0.288076712957
n	0.0135704052337	0.014713345748	0.0273840468021	0.113842781113	0.541379485733	0.289109905186
è	0.0102710178666	0.0106032190973	0.022045345214	0.100399325038	0.595856065911	0.260824983995
s	0.00863309814287	0.00880630611337	0.016952532298	0.077480226346	0.594054749304	0.294073014065
t	0.00880213656429	0.0217768872854	0.0393046094727	0.0850062257153	0.476672698435	0.368437434415
r	0.0106373810554	0.0279383612065	0.0537371970042	0.100021904905	0.412562466145	0.395102763732
a	0.0111730070925	0.0164440851375	0.0337022362814	0.095588431935	0.417557571382	0.425534683111
</S>	0.0112993156862	0.0130636888207	0.0242256989407	0.0810968209175	0.412812797691	0.457501656556
