 	ho	cosa	a	fare	</S>
è	0.674175757	0.14752678783	0.05743174081	0.0587773055643	0.0620884126625
c	0.481086061	0.27586738861	0.108146250463	0.0646985543777	0.0702017334183
h	0.304903547	0.420985490203	0.136469661354	0.0687173151859	0.0689239325904
o	0.208550624933	0.455781503401	0.194535232651	0.0673522408679	0.0737803583511
t	0.111861674324	0.374352579267	0.31156084235	0.0914923977886	0.110732525152
i	0.0624520795213	0.237334403756	0.38976551465	0.14772941893	0.162718604931
k	0.0418494132244	0.116706782352	0.359298235283	0.301575718577	0.18056979831
à	0.0318160138588	0.060995986684	0.251641860361	0.426198606859	0.22934744997
i	0.0244267151369	0.037400823768	0.164810972254	0.460238450286	0.313123004523
</S>	0.0173788372444	0.025310837194	0.120080076427	0.493128411143	0.344101837262
