 	sul	muro	vuole	uno	specchio	</S>
s	0.759558672	0.07506695514	0.0385640767136	0.0388552436003	0.0449820776021	0.0429729609171
t	0.677169962667	0.137873652211	0.0429974871144	0.0423415065319	0.0486856143398	0.0509317261692
o	0.603286416222	0.207948067235	0.0448977251196	0.0439482528701	0.0476340902302	0.0522853506002
t	0.428947624874	0.299566537412	0.0482678306799	0.045105304343	0.0848375935013	0.0932749514992
ì	0.279179885091	0.416370398137	0.0553361474933	0.0440236889753	0.0967978472885	0.108291899789
c	0.226116931397	0.430231356046	0.120692289764	0.041578028237	0.0870682777956	0.094313036235
h	0.184908889699	0.369826558015	0.210968944921	0.0460912171719	0.0903602166551	0.0978441404996
o	0.169611386273	0.325974528005	0.304029965974	0.0476520498926	0.0660711943692	0.0866608683989
t	0.094757912851	0.238054669735	0.395941960658	0.0491340447729	0.0779278867493	0.144183467518
è	0.056833085137	0.144909384978	0.481357038886	0.0534573237243	0.0763488471052	0.187094258159
l	0.0429700229657	0.117760450259	0.528096177429	0.0592756788614	0.0728662443151	0.179031444173
i	0.0361718663106	0.093454805533	0.407921056943	0.163062618974	0.090928371203	0.208461289778
o	0.0372828830389	0.0614660322777	0.228725122334	0.326306663925	0.113935676801	0.232283539406
j	0.0246150185396	0.0375494894392	0.119547531171	0.364223706908	0.221001055134	0.233063093015
e	0.0176195782485	0.0253890644684	0.066979065017	0.338840343903	0.315619039711	0.235552804605
l	0.0141297737248	0.0192446471628	0.043449974659	0.286805824634	0.375081241904	0.261288466268
ì	0.0151737771336	0.0199963518829	0.064605902133	0.199618156878	0.445354482968	0.255251329689
</S>	0.0201470096548	0.0241764480174	0.0942368248365	0.166397519439	0.469552653984	0.225489581844
