 	è	pericoloso	di	nuotare	di	notte	</S>
è	0.576277406	0.20148128514	0.037961204855	0.0432820078143	0.0484805963161	0.0503268184873	0.0421906772341
p	0.4370161	0.308188445913	0.0490719632337	0.045852888635	0.0514773543485	0.0560877611382	0.0523054549323
e	0.3217977144	0.408876352371	0.0610505987312	0.0450867800164	0.0487828000652	0.0549275204104	0.0594781865569
r	0.227091267467	0.483693061457	0.0747285065971	0.0507406693422	0.0482967273214	0.0523680687938	0.0630816965398
i	0.166894720889	0.474710789819	0.154480314799	0.0497317715141	0.0431819150823	0.0462347500988	0.0647657201226
k	0.12584399695	0.443468147273	0.230592890266	0.047800551478	0.0461473868559	0.044780187787	0.0613667648799
o	0.09784637537	0.375754340091	0.313871949689	0.0520670574927	0.0509410833346	0.0453044520474	0.0642146767265
l	0.0800336684367	0.30791546503	0.37421142283	0.0596478986042	0.0676963313609	0.0478527464676	0.0626424009722
ò	0.0751621127922	0.258032690343	0.37730499521	0.102834092135	0.071012478207	0.0501048234603	0.0655486641961
s	0.0592808402374	0.211033942248	0.406395667737	0.147168980845	0.055793035689	0.0461260367545	0.0742012906138
o	0.0441565401458	0.174215560483	0.396954796579	0.213002617282	0.0618249068297	0.0360698599462	0.0737755436137
n	0.0407967759399	0.112225315161	0.358049035793	0.284312060361	0.0801514543432	0.0313418815667	0.0931233178706
a	0.033926181598	0.077169135187	0.295887550198	0.31725595792	0.126381117648	0.0326501835222	0.116729766156
n	0.0300943204513	0.057765521929	0.222906547066	0.33417265704	0.180137497883	0.0464769706407	0.128446396679
a	0.0260091811158	0.0447900599097	0.158276462689	0.31034245828	0.232593139294	0.0586178127469	0.169370804006
r	0.0218978928886	0.0341747920699	0.10057606583	0.27254866236	0.279419670098	0.0818760265156	0.209506932735
è	0.0209811141329	0.0255215948433	0.0631449549433	0.236976235187	0.306662290566	0.119318669972	0.227395207712
t	0.015929236351	0.0178682383011	0.0454848684478	0.218223019262	0.338905319055	0.130549772857	0.233039555504
s	0.040630671817	0.019656009867	0.0366987940159	0.183220268041	0.329301187285	0.142428748086	0.248064256101
i	0.0483771548583	0.0189738275177	0.0237703251586	0.117478541269	0.263482826228	0.243468952962	0.284448291967
à	0.0203770080121	0.0111416904259	0.0135017607462	0.071164629125	0.202899962256	0.437002132987	0.243912719989
t	0.0121873148267	0.00934663818663	0.0146196442941	0.0582174818417	0.223587530065	0.493718836329	0.188322462396
s	0.0168071454904	0.0147529085022	0.0148226502567	0.0505340479586	0.261415850622	0.425552602776	0.216114754932
e	0.0221901917695	0.0155765530607	0.00948048638557	0.0331751336355	0.208607970874	0.444701305592	0.266268341377
n	0.0166294828653	0.00982693998757	0.00811857538159	0.0260320375565	0.149102054058	0.485982191197	0.304308749126
ì	0.00930124060603	0.00718138502052	0.00760894153626	0.0228933136122	0.116872360973	0.548502257066	0.287640519042
t	0.00691244246468	0.00660768076417	0.00864796384142	0.0201686158774	0.096791328311	0.583738967022	0.277132997014
t	0.00955578460723	0.00661361623672	0.00885975020181	0.0175697755898	0.0872112668637	0.576843048341	0.293346744771
a	0.0162402419016	0.00796811434091	0.007640064155	0.0128459504539	0.0742594811346	0.539488139447	0.341557944024
</S>	0.0197789072111	0.00933717833045	0.0079569573171	0.0113907030969	0.0712005347973	0.484593569723	0.395742067012
