 	mi	si	gonfiò	il	dito	</S>
m	0.561305532	0.15612906084	0.0800983855	0.0548752373918	0.0535533110517	0.094038600365
u	0.365386949067	0.241476891347	0.160785288367	0.0608580628512	0.056340594635	0.115152340493
b	0.200535941956	0.271538150449	0.253630916522	0.0730084651352	0.0872540431223	0.114032595837
r	0.127324848585	0.22653952915	0.354713137507	0.0890453937584	0.102391799594	0.099985402482
i	0.0998822191283	0.193703576717	0.438524073836	0.119434944879	0.067322302358	0.0811329370736
s	0.0626410457094	0.152088621906	0.415730851279	0.17642291916	0.0982125369927	0.0949040194158
t	0.0456974300631	0.133334267902	0.33353751336	0.193139283987	0.150313016531	0.143978512547
ì	0.0420750683144	0.116311867401	0.23649881692	0.269010098462	0.16947300407	0.16663119041
o	0.0312139146615	0.0660400266003	0.140247877573	0.387991990821	0.218165776517	0.156340423157
d	0.0190290475972	0.0325055022508	0.071601582931	0.33884951134	0.391803267972	0.146211108252
à	0.0130826365268	0.0220576197609	0.0428088060503	0.208128666513	0.545166740657	0.168755571617
t	0.0123078714733	0.0195602681383	0.0331967175101	0.145325825704	0.592930150886	0.196679173072
t	0.0280347500998	0.0210594626341	0.02676180787	0.112241131435	0.602226717629	0.209676099624
i	0.0322782410226	0.0199819736674	0.02237471123	0.0824862894117	0.576959703876	0.265919043075
l	0.0154485848895	0.0110565137654	0.0160636468333	0.0591281024372	0.577250992625	0.321052191825
o	0.0116992223078	0.00935307695873	0.0157577612744	0.0513299698457	0.501997652875	0.409862389408
</S>	0.0128410755039	0.0102874629594	0.0181512529972	0.0567336894228	0.423959707437	0.478026870704
