 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
e	0.5364356594	0.28425293855	0.0296262538857	0.0283404039211	0.0292518856552	0.0304192441376	0.0300164062488	0.0316571941566
t	0.335548633733	0.435464251517	0.0447162399104	0.0340992474689	0.032553673058	0.0369955121413	0.031365229552	0.049257149472
è	0.200622134378	0.549733658506	0.0562886731701	0.0373823143224	0.0323593168718	0.0383450331692	0.0302147014962	0.0550540651882
l	0.138526253079	0.593969401235	0.0742848581234	0.0435305224487	0.0303152585239	0.036719007286	0.0298204440653	0.0528342025609
i	0.112080974846	0.450817413678	0.223608427841	0.057727121958	0.0313870618365	0.0390191298414	0.0319777788092	0.0533821016372
f	0.0888663964887	0.320191304559	0.347123619947	0.0778377431527	0.0359742362846	0.0409201950811	0.0379317284467	0.0511548192876
a	0.0738096395696	0.233778389986	0.380850475316	0.125478739584	0.0398756456915	0.0420493260637	0.0471578716647	0.0569999686971
m	0.0596146173499	0.147975557089	0.358488533772	0.163286050395	0.0817650114938	0.0505940923258	0.0710927061686	0.0671834706705
è	0.04997953905	0.111029131056	0.297745695924	0.232641194998	0.103102663265	0.0520812073166	0.0753641815901	0.0780563793867
n	0.0475085059067	0.0819991820653	0.304339989308	0.305829577399	0.0774082401217	0.0430764569269	0.0604741965054	0.0793638347482
o	0.0424178985522	0.0619930857044	0.238274165836	0.329534645933	0.130509326307	0.0556838962023	0.0653651187405	0.0762218483034
o	0.0309363036914	0.0425593910928	0.132592884352	0.303965075311	0.257377117436	0.0824885132141	0.0763518645601	0.0737288147729
l	0.0247974783511	0.0318596733623	0.0773242911373	0.20062592857	0.416325446479	0.100383323218	0.08184373255	0.066840146631
i	0.021805163357	0.0271392617501	0.0631468550591	0.142772362657	0.427342559493	0.147005118919	0.08571873432	0.085069928457
m	0.0183817609723	0.0227867565434	0.053556925233	0.113027198352	0.375921679164	0.19604005364	0.107764628287	0.112520888599
i	0.0209074048774	0.0222298637678	0.0449977707577	0.0763962370173	0.341221886721	0.240562225013	0.131022065716	0.122662458466
a	0.0214741444833	0.0210154933039	0.0440171996992	0.0621829510591	0.223744393907	0.351009887004	0.149875397592	0.126680493802
f	0.0161729262273	0.017471507428	0.0294869825271	0.044947192453	0.207219962502	0.397047516735	0.165340569797	0.122313281047
o	0.0142248709076	0.0156195700913	0.030458578005	0.0416944020977	0.185973721767	0.353797877978	0.219256993999	0.138973893976
r	0.0121682584577	0.0134101231291	0.0279534105699	0.0338834754832	0.132007036789	0.327110026193	0.302494258466	0.150973328152
à	0.0100289237736	0.0128959594384	0.0263816028162	0.0322248503784	0.12869589133	0.297296295164	0.291809101955	0.200667300824
</S>	0.0091408645303	0.0131989413492	0.0336163712681	0.0412222756392	0.119972904565	0.278826599932	0.248525963977	0.255496012072
