 	non	aveva	da	stare	</S>
e	0.726422873	0.1084497033	0.0505322517398	0.0571655117197	0.0574296480179
n	0.541898261533	0.2335158563	0.0634583586478	0.0727027885771	0.088424820153
ì	0.321118731911	0.436036917433	0.0738242139493	0.0729416330135	0.0960786222797
c	0.19211939677	0.511129149144	0.114537481316	0.067039521563	0.115174451511
h	0.125003306857	0.448559643715	0.223764500439	0.0717919955343	0.13088050574
e	0.084815761419	0.329481215238	0.38527235508	0.0686689693248	0.131761685053
n	0.0500016193763	0.193312617813	0.506845594627	0.0967378895749	0.153102288351
a	0.0326650288621	0.102498479671	0.445603813209	0.264669964858	0.15456266705
s	0.0206751744874	0.0566879574903	0.30678507567	0.453125238953	0.16272649435
t	0.0122362705611	0.0373669389901	0.226115053557	0.560169784984	0.164112001383
a	0.0074746367645	0.02154940547	0.154403322986	0.624323952995	0.192248750394
s	0.00936926829717	0.0221234579713	0.125359269782	0.521720849932	0.321427206798
ì	0.0134275327439	0.0222138392071	0.107153406421	0.431267995911	0.425937264933
</S>	0.0152504208939	0.0177596390765	0.0795392193705	0.453350646455	0.434100104466
