 	non	ti	dimentichiamo	mai	</S>
e	0.618376778	0.232920231922	0.0502139415603	0.0493582160475	0.0491307807119
s	0.440502156	0.346681366641	0.081374547007	0.0591297790075	0.0723121029111
e	0.302623064667	0.426542359547	0.120256086349	0.0667532272838	0.0838252126639
a	0.202058059156	0.413809118516	0.212553141663	0.0841855327479	0.0873941138822
l	0.123854282785	0.269646629505	0.388038174554	0.097933452696	0.120527489481
l	0.125334037395	0.175784330902	0.436910559518	0.100444780399	0.161526339967
i	0.147718845798	0.180863908501	0.341003300173	0.1218698643	0.208544155496
m	0.101823592233	0.158147701767	0.409375134391	0.131769201833	0.198884455599
o	0.0599742907777	0.113896367856	0.461376020797	0.165062910078	0.199690452066
n	0.0449706287726	0.094846639952	0.396652140266	0.217099776426	0.246430818155
ù	0.0420033545442	0.066001736184	0.317107958022	0.325043611809	0.249843374918
m	0.0428649501547	0.0502731453813	0.258803659274	0.37789551847	0.270162843173
e	0.0319181676942	0.0349521197604	0.200785435345	0.409812973023	0.322531414391
m	0.0249334485141	0.0300262967135	0.112556075168	0.486362948341	0.34612122613
à	0.026996147898	0.0338233004178	0.0936133829227	0.48784998878	0.357717153377
i	0.0298462287153	0.0281948499193	0.0683727676916	0.463362709593	0.410223427792
</S>	0.0264756645516	0.0239319360797	0.0554388478218	0.442982690796	0.451170818896
