 	che	non	li	aspetiamo	</S>
n	0.75704673	0.084578880125	0.0535934007095	0.0501944955667	0.0545865749453
a	0.603344601333	0.213069306658	0.0686826152895	0.0567835729083	0.0581199822467
m	0.389262527778	0.267469951886	0.187852405726	0.0657936603417	0.0896214515004
i	0.250768915593	0.228160275162	0.357980065242	0.0635698872806	0.0995208794801
t	0.166740926731	0.203432239721	0.432423805081	0.0631041497269	0.13429890454
u	0.128501801377	0.150297752374	0.490734111027	0.0808933439756	0.149572970047
s	0.100388372192	0.116977287391	0.446697037009	0.137880526925	0.198056733482
m	0.062508556464	0.075668390197	0.335183982736	0.170352482175	0.356286502894
ì	0.0704711608613	0.0658586283723	0.330093472645	0.140606380792	0.392970308698
n	0.0955948455938	0.0924552852974	0.359985418882	0.133421964531	0.318542476233
o	0.0710874743979	0.0942901586325	0.277830598627	0.279069170577	0.277722559811
m	0.0523824418114	0.0597513724302	0.188615672162	0.406901206192	0.29234928407
e	0.0429974070473	0.0394643397674	0.143779368161	0.416845196731	0.356913662423
</S>	0.0284247046706	0.0316669542907	0.0937776568105	0.435632542365	0.410498087211
