 	se	vieni	alle	sette	sto	ancora	cucinando	</S>
a	0.603382062	0.1860479803	0.053332896486	0.0321707779918	0.0303146258723	0.0313221532226	0.0312661204597	0.0321633778143
n	0.4345905142	0.215739923233	0.133028147953	0.0440977045965	0.041698133444	0.0390976807071	0.0400462164213	0.0517016527153
è	0.256041728333	0.203117244211	0.297005832651	0.0542794998655	0.048796996164	0.0408989465694	0.0416179197351	0.0582417905022
r	0.170630596178	0.225109137804	0.386786284884	0.0549808119818	0.0488991958747	0.0353778470191	0.0343843515039	0.0438317789534
k	0.166833358659	0.230798516335	0.358059886295	0.0731610857873	0.0602608564128	0.0369572570474	0.0343607924974	0.0395683408183
e	0.141061157886	0.179770779778	0.386237176098	0.120429383229	0.0573774964369	0.0418177771097	0.0345608147336	0.0387454660406
s	0.0953702080953	0.131984688926	0.442572959366	0.159276707276	0.048602085841	0.0414718777303	0.035440887311	0.0452806282541
e	0.0808051670984	0.0992603407753	0.381494598455	0.256630855759	0.047145421147	0.0416469772896	0.0339760436827	0.0590406475523
s	0.0636954198195	0.0784281837251	0.282284832818	0.33020237152	0.0760318559157	0.0494313855627	0.0364788707563	0.0834470771215
e	0.0548421070998	0.0657415598284	0.205911479473	0.366250326107	0.120006545239	0.0595340530896	0.0375960588049	0.0901178419034
s	0.0431284922046	0.0502229182495	0.135303645798	0.376410950702	0.19436025668	0.0772929496252	0.0356866210811	0.087594071564
e	0.0365345070782	0.0424040452898	0.0966138650393	0.317314162901	0.27814290156	0.0976296955417	0.038969040391	0.092391728388
t	0.0312876998361	0.0358554350119	0.0696080097264	0.279315610967	0.33461131652	0.116758917734	0.0430429126343	0.0895201307627
t	0.021624875003	0.024074292396	0.0502689032555	0.241382120156	0.411777491507	0.10690601186	0.0482771054448	0.0956892926476
à	0.0180865185606	0.0194809882153	0.0436975433852	0.190662177285	0.451312885169	0.128266761948	0.0526553198683	0.0958379232092
s	0.0165608525922	0.0176176427891	0.0363775602937	0.143029318762	0.46510470039	0.142388697583	0.0499590759028	0.12896222517
t	0.0163660394727	0.0167540903604	0.0305124202632	0.118472198721	0.48918890413	0.11613916109	0.0506821233983	0.16188512007
e	0.0155687154756	0.0155517031055	0.0242893079544	0.082690875207	0.382368853043	0.229400310992	0.0658591340234	0.184271187963
a	0.0121388004757	0.0124047944774	0.0177822887941	0.0494709031957	0.222546316281	0.366746232197	0.122192657801	0.196718135414
n	0.0132663734833	0.0129828414776	0.020018492344	0.0562722669252	0.164914257227	0.397081914066	0.180275460467	0.155188490431
k	0.0142992043973	0.0134587849435	0.047763156794	0.0891717895417	0.142648336876	0.342022374622	0.177709403649	0.172926987477
ò	0.00991956687577	0.00968863446783	0.0511077723273	0.0790399457539	0.117351709159	0.263378057607	0.22893969551	0.240574616692
r	0.00891880376179	0.00941724932508	0.0271327397891	0.0469164893513	0.10709756972	0.289050648202	0.248211165503	0.263255297364
a	0.0104510538198	0.0113058662068	0.0195307985697	0.0348117463571	0.0839747017067	0.255643181201	0.254954916568	0.329327666588
m	0.0172966528606	0.0131490910132	0.0157625987299	0.033396613299	0.0666942651689	0.1883636804	0.328033893256	0.337303105063
a	0.0185567324721	0.0124451818607	0.0129128707766	0.0301476343197	0.0576752246296	0.156463376533	0.387544585085	0.324254361888
r	0.0115789836196	0.0095225328879	0.0102014110309	0.0194343333599	0.0369448731565	0.0974033211777	0.429162798362	0.385751787296
è	0.00935487795267	0.00860786748597	0.0102016394143	0.0154435591613	0.0361037861588	0.0799691397659	0.449010638787	0.391308469432
o	0.00791146124816	0.00738972022879	0.0104760866368	0.0113036370658	0.0317725347463	0.074216772042	0.437277167596	0.419652564144
</S>	0.00753010025938	0.00686246897299	0.0101256264084	0.0100774128389	0.0283790641131	0.070742830641	0.409089225798	0.457193237072
