 	non	mi	aspetti	non	vengo	</S>
m	0.42037080838	0.060959528152	0.15400235395	0.0547819503914	0.172346266875	0.137539019223
ì	0.343576617713	0.116201611632	0.142780357397	0.055472054736	0.186955271101	0.155014040981
m	0.297191396438	0.168037777517	0.158051379519	0.048042094602	0.192272739662	0.136404604051
e	0.229276633346	0.234806386259	0.18380845692	0.0510238815067	0.182497777897	0.118586911532
m	0.149211806649	0.28125232112	0.162699049015	0.0586878483529	0.200313783135	0.147835303913
ì	0.106357899083	0.232282865273	0.149220001087	0.0941442541843	0.221236501778	0.196758679675
n	0.111747176294	0.197197855558	0.195266434962	0.140609789728	0.178190693459	0.176988214485
i	0.0726081116313	0.139416435719	0.156918125521	0.269363905576	0.188414104353	0.173279332955
e	0.0377852631998	0.0724244791777	0.0978144574803	0.415531346992	0.186567199851	0.189877256985
n	0.0256753380159	0.0402695865772	0.0614914795334	0.360288987731	0.302626765284	0.209647834728
è	0.026345548016	0.0306256375745	0.0389844980711	0.227306395617	0.426233751761	0.250504152243
r	0.0257377593007	0.0277876299136	0.0384464801037	0.184383095446	0.45449435992	0.269150708748
k	0.0226909497129	0.0655055650005	0.0445325375679	0.170820697282	0.44143298464	0.255017248983
o	0.0200767639603	0.0786856320182	0.0448040261293	0.131311192427	0.380784432413	0.344337885728
m	0.0153166861053	0.0423599564819	0.0415875022438	0.111799563109	0.419020375004	0.369915870309
e	0.0130976130729	0.0297088515345	0.0373972740219	0.104664192136	0.424390239668	0.390741759836
</S>	0.0134290048475	0.0287550010773	0.0355276951109	0.092585495768	0.354970541834	0.474732137918
