 	il	vestito	della	sposa	vuole	bianco	</S>
t	0.708834069	0.0947770687	0.0490420497523	0.0347075042715	0.0342865928061	0.0389869032375	0.039365779207
o	0.621218055	0.144627727567	0.068421382039	0.0376002192795	0.0366074217531	0.045137287132	0.046387892995
n	0.424051909667	0.196310400789	0.174258410713	0.0488608176658	0.0407153979452	0.0559499172739	0.0598531387133
à	0.228676828022	0.242949407196	0.301383270238	0.0708591668719	0.0409035851668	0.0549537295252	0.0602740403742
b	0.133139664741	0.253902589332	0.375582911413	0.101069986607	0.0369241225187	0.0493262696709	0.0500545156311
b	0.15798806658	0.251553446844	0.336707116784	0.098191028653	0.0373675313137	0.0606108902498	0.057581947566
e	0.17460683486	0.279579016015	0.294403355908	0.093922869135	0.038657160224	0.058207217345	0.0606235316718
t	0.124181297487	0.263501112938	0.332639086703	0.118443415445	0.0423055372947	0.0534347687871	0.0654947400997
o	0.113486745429	0.221705842579	0.302103359634	0.187630868882	0.0465463948082	0.052222183105	0.0763045326953
a	0.082911095559	0.148051695193	0.209851483278	0.338166158294	0.0901524387494	0.0395058580037	0.0913612344456
t	0.0675006458857	0.0943841288577	0.129708662693	0.412905499031	0.12670442003	0.0431420245432	0.125654644578
s	0.0903952507986	0.0877795969592	0.106760638698	0.34916682961	0.12069880161	0.0720566929144	0.173142139486
è	0.0852978578462	0.0736993793997	0.103397629166	0.311571105003	0.156771510003	0.0940215238541	0.175240906855
k	0.0509417041487	0.0543607897999	0.0918579144553	0.327408995601	0.193283099068	0.114805263701	0.167342218185
o	0.0386063298029	0.0472536326	0.0705681103518	0.291021878	0.222600696756	0.1157673619	0.214182013028
r	0.0323898029876	0.038277456422	0.0599626510606	0.230485571647	0.263753102252	0.139878849967	0.235252638876
à	0.0239694254585	0.0277707406793	0.0501979820435	0.176095924162	0.298757733417	0.171869437856	0.251338809725
s	0.0193484373968	0.023188804226	0.0334489374078	0.125816316087	0.350148275139	0.188796322485	0.259252913322
i	0.0142121320136	0.0170717117729	0.0218957876253	0.083197267269	0.349041866046	0.258320330162	0.256260927487
t	0.0130730577312	0.0143342294456	0.0144136589511	0.049148540043	0.313583396349	0.377515700387	0.217931432562
è	0.00973287573573	0.0105337839477	0.00918175194903	0.036038629241	0.286337370383	0.461309537129	0.186866084921
l	0.00758144599591	0.00850041771057	0.00878772430834	0.0270063006803	0.240963135461	0.524377944376	0.182783082707
i	0.00839987115064	0.00880732129099	0.00929820782078	0.0201436782801	0.165281152887	0.521435239459	0.266634571302
à	0.00888922751288	0.00882060000766	0.00907941637826	0.0166991548914	0.094099637109	0.507284617153	0.355127367767
s	0.00884437150829	0.00897701028955	0.00730802762875	0.0153130629471	0.064870313983	0.622787441051	0.271899756589
p	0.00763477234583	0.00773447767072	0.00521138263025	0.0114477385733	0.0429638409877	0.713410063017	0.21159770975
r	0.00841828059561	0.00622857740391	0.00350693533142	0.00829981593203	0.0292062342026	0.704187139006	0.240153090003
o	0.0113169401165	0.00832922879997	0.00620441250181	0.00953816114068	0.0271081930809	0.575082513135	0.362420611201
</S>	0.0111575694772	0.00949617669629	0.0092172903029	0.0109270679623	0.0267038345404	0.474362565768	0.4581354796
