 	l	ho	sentito	che	viene	</S>
o	0.689063346	0.11783938177	0.058352085658	0.0489935868672	0.0425284276419	0.0432231670785
n	0.498219467333	0.210356115923	0.0745571507193	0.0713994720265	0.072463818831	0.0730039475168
ì	0.297473880244	0.344541524641	0.110953792806	0.0776622811248	0.0844094101793	0.0849591556253
k	0.172838813615	0.388876017814	0.203367834802	0.0836374944749	0.0668833422788	0.0843965318938
u	0.107601414072	0.289638960605	0.306584931201	0.145621447958	0.0582110577983	0.0923421756353
s	0.0744680418573	0.166797037868	0.3375043168	0.279174373319	0.0600954985668	0.0819607453518
a	0.0452087524524	0.0868477930893	0.258343199867	0.410355408706	0.0764156346709	0.122829203297
n	0.0446618735221	0.0543207932698	0.150108006376	0.440784037169	0.159308441224	0.150816798086
a	0.039434746594	0.0362167513633	0.0849971511073	0.347979953723	0.300204090341	0.191167258215
r	0.024852336516	0.0246843454698	0.0481792574444	0.215809852708	0.433949739114	0.252524438872
t	0.0671230937947	0.0200798783586	0.0305505763081	0.141738114069	0.467670867288	0.272837446757
i	0.0817534770448	0.0191521260026	0.0229274646674	0.0983671869897	0.401935642279	0.375864111919
</S>	0.0486671774623	0.0178423406959	0.0205905364107	0.0763731933948	0.373128617539	0.46339817296
