 	può	che	sono	ancora	svegli	</S>
i	0.740301482	0.09714520701	0.0398098486982	0.041735495711	0.0392574981546	0.0417504027237
s	0.596920176667	0.222267004737	0.0440918003527	0.0422582615757	0.0410840729272	0.0533785834688
ò	0.436383745556	0.377015478246	0.0454272114042	0.037864497076	0.0383923492305	0.0649166259916
z	0.335524274519	0.443811846082	0.0675910695547	0.0408060698885	0.0376643965302	0.0746022631062
i	0.228482743773	0.513564110694	0.0944308877849	0.0493032934007	0.0414601742332	0.0727586967815
k	0.153563055724	0.533092562231	0.129811916728	0.052261088679	0.0502375817386	0.0810337329092
a	0.121965340108	0.412383578744	0.248892682776	0.0695058015597	0.0544696859602	0.0927828939698
ì	0.0977811650693	0.253849737448	0.393622744925	0.111224322387	0.0503627523641	0.093159273651
n	0.0780149371231	0.161936276816	0.476825136975	0.119417574062	0.048424309062	0.115381748998
e	0.0639357346144	0.114691218739	0.377106170325	0.265363802154	0.0498924927347	0.129010530134
a	0.0433356816381	0.0660366690597	0.197170787842	0.497142110718	0.0767188856649	0.119595788018
n	0.039046124446	0.0522765839066	0.144451785014	0.531581431573	0.100693186383	0.131950846226
k	0.0637410013487	0.0586954592422	0.126006305805	0.410418474191	0.095876561689	0.245262246075
ò	0.0626211372096	0.0527681870141	0.136085188468	0.323816797064	0.123798012963	0.300910760692
r	0.0408813538299	0.048419758558	0.166908528023	0.349439002688	0.149849515561	0.244501942431
a	0.04240814657	0.0495364521393	0.134180815368	0.353701696829	0.161774934827	0.258397982344
a	0.0381713342233	0.0380476726998	0.083705388216	0.26866245741	0.275198932342	0.296214092981
t	0.0266744104744	0.0260614480399	0.0584215132053	0.195555724003	0.354067111781	0.339219754527
s	0.0389141302848	0.02055738836	0.0404524761144	0.149393047552	0.311498801027	0.439184233509
ù	0.0434276102216	0.0178381981533	0.0341688499508	0.109258341135	0.359575779776	0.435731244503
n	0.0248536493825	0.0190457499004	0.0384230793303	0.114558029378	0.458371415259	0.344748063501
n	0.0362061094962	0.0276299874588	0.0389336023101	0.107672095393	0.42277239022	0.366785799167
i	0.0496286101201	0.0321601906289	0.0525410782634	0.0784809779777	0.398040605873	0.389148525722
t	0.0457628947154	0.051906160977	0.0547218785545	0.0544893314459	0.404317126491	0.388802642574
i	0.0380394036187	0.0573008719163	0.0371370326448	0.0417005080886	0.351392164497	0.474430088858
</S>	0.0285479245587	0.0383842729832	0.0299908465724	0.0403129430443	0.326382637948	0.536381439429
