 	il	morto	si	piange	</S>
o	0.64610094	0.2081772882	0.0441474544994	0.0451914621955	0.0563828190164
a	0.472778877333	0.358530498067	0.0462122273374	0.0531727311348	0.0693056087349
p	0.330268417778	0.448597805356	0.0606300327925	0.0817449486449	0.0787587581024
e	0.284392761259	0.470425933119	0.0697145774442	0.0884262374563	0.0870405437269
t	0.242209253086	0.481464377706	0.0715503357481	0.10058006686	0.104196061266
a	0.184221731029	0.490308940569	0.091054964916	0.108032812487	0.12638162715
m	0.140878353543	0.452258698323	0.123922378879	0.159402034762	0.123538568178
m	0.137574915981	0.379887532908	0.1329082432	0.203407845787	0.146221422326
è	0.16270420666	0.368948162303	0.131176672133	0.150153197329	0.187017687435
n	0.16196774862	0.353035644768	0.169367313244	0.128329243176	0.187300023538
o	0.132386615673	0.258703352723	0.253421485081	0.160673978125	0.194814594379
i	0.081263843251	0.167664882241	0.29699955836	0.236617613775	0.217454060926
k	0.064966224885	0.119274504767	0.27245467032	0.326435878592	0.216868710509
l	0.053422573943	0.085194632609	0.197023898507	0.333699015531	0.330659935903
è	0.0350021863077	0.0631345953363	0.131448181569	0.338596370977	0.431818750634
e	0.0247585405512	0.0499077076188	0.10848669059	0.377731688792	0.439115455545
t	0.0233419989839	0.045434941748	0.09923945575	0.401515648931	0.430467953182
e	0.0240004171195	0.0460068738911	0.08642115753	0.342913178977	0.500658325727
</S>	0.0209138393398	0.0422680489556	0.065005917155	0.261279730489	0.610532402863
