 	se	avessi	visto	il	tempo	avessi	visto	le	nuvole	e	non	avevo	uscito	per	bagnarmi	</S>
a	0.6370093366	0.1173212147	0.026840580618	0.0183020172395	0.0174946268414	0.0161131787784	0.0161577415788	0.0160126372926	0.0163826900338	0.0159904687065	0.0157665659724	0.0160440096897	0.0163855928805	0.0171201042845	0.018880752085	0.018178584202
n	0.428688679267	0.215820459967	0.084893718942	0.0253164904295	0.0198016319614	0.0192872190602	0.0192978278582	0.0188693697852	0.0194337634585	0.0188867854396	0.016750052227	0.0188762495753	0.019275678453	0.0202404059814	0.0242998239461	0.0302619431151
ì	0.199014995956	0.310223400656	0.200682064114	0.0419313591432	0.0202815387258	0.0202974228444	0.0198651247923	0.0188305490936	0.0198301175791	0.0190456320691	0.0159316017351	0.0190984918583	0.0193350343024	0.0195425723911	0.0234001442841	0.0326899884491
c	0.108917630079	0.330286101019	0.276233334505	0.0581630570811	0.0203680441619	0.0225850788517	0.0200610621239	0.0169847893131	0.0206836906855	0.0173855845077	0.0144269224205	0.0180232522632	0.0176694087478	0.0164869908536	0.018022939156	0.0237021193101
h	0.13432695732	0.30328978314	0.261113978368	0.0640127646937	0.0230009851906	0.0251007851915	0.0219088701564	0.0180643368598	0.0227244468597	0.01824167913	0.014766910557	0.0191087451486	0.0184800506963	0.0169718993434	0.0175307550353	0.0213570852227
a	0.140985727707	0.228192811447	0.311158342789	0.0803515020312	0.0232531764689	0.0239846068427	0.0217144561876	0.0186597082724	0.0213947648876	0.0184749936253	0.0160255461619	0.0188998512053	0.0186294237773	0.0180344582509	0.0194601655166	0.0207805378998
t	0.0865665177557	0.147593143549	0.40254287653	0.11114354361	0.024478549865	0.0245036559402	0.0224025410015	0.0198562344212	0.0215363566822	0.0193503581372	0.0172290555044	0.0188657859108	0.0187022779915	0.0188487510043	0.0218566057202	0.0245237927448
o	0.0614588295719	0.10318592645	0.35740570431	0.20850859607	0.028021080175	0.0239412329993	0.0225314284037	0.0210920055578	0.0219431405354	0.0208651804602	0.0186595231189	0.0194145121668	0.0191589558757	0.0197717420335	0.0236048963164	0.0304372262357
r	0.0442694854953	0.07356101575	0.298609901837	0.298711048023	0.0322774071583	0.0242471407056	0.0224272097964	0.0209059603415	0.0216392227843	0.0220280080363	0.0195522811962	0.0204263109605	0.0192403816616	0.019327724404	0.0235291433689	0.0392476910374
ì	0.0389241758631	0.0621822811833	0.266803036679	0.338565733141	0.0433504640194	0.0258812672579	0.0229827176753	0.0205648145989	0.0222279991319	0.0222858367584	0.0191308977141	0.020980825633	0.0186796967586	0.0176739943442	0.0208086165042	0.0389575998845
s	0.036280359809	0.0586300491944	0.256970513093	0.348924211714	0.0548762602065	0.028898299762	0.024719197145	0.0219595353845	0.024578958842	0.0210468128769	0.0183716481241	0.019628210058	0.0178610023793	0.0159481540282	0.0194943066319	0.0318125130011
o	0.0332567735577	0.0515701692935	0.222120863898	0.346419299038	0.106632578002	0.0299627271207	0.0248855457957	0.022390271902	0.0244772800909	0.0202518390406	0.0183062030229	0.0183710374887	0.0172679440988	0.0157297620579	0.0196823373124	0.0286754145865
n	0.0311853249443	0.0424612173065	0.136741142299	0.377469009079	0.159155781201	0.0349857729269	0.0303403595326	0.0249177372131	0.0285041283212	0.0199211200608	0.0179446696616	0.0182669826873	0.0167866736338	0.0161531947322	0.0182385784118	0.0269283762173
t	0.0646021325889	0.0467538549488	0.095584661433	0.36065945156	0.136094180467	0.048628581909	0.0392348177642	0.0302019828557	0.0358954562922	0.0215661757443	0.0177801303959	0.0203047295082	0.0182900721435	0.0176338300134	0.0188729335454	0.027897128246
a	0.0762409025866	0.0481195187563	0.074107942971	0.28438997632	0.200021379022	0.0575589271697	0.0406515064547	0.0306401960259	0.0353351580678	0.0234492296625	0.0189458590722	0.0217598281594	0.019547798234	0.0191669275346	0.0207342419339	0.0293306609595
o	0.0446584650757	0.0353511601021	0.053702483477	0.19172231784	0.340149364341	0.0687552702566	0.0442764597516	0.0300996038533	0.0337706515155	0.0234842129264	0.0197382653625	0.0215804474013	0.0192400237578	0.0198837707261	0.0209059725206	0.0326815240697
c	0.0347230615414	0.031504433364	0.044091613639	0.12834128568	0.34335879818	0.0849419920855	0.0753881802505	0.0400701556351	0.0430872485475	0.0273134935328	0.0192380604977	0.0262371899363	0.022453534477	0.0227119284428	0.0206966141142	0.0358423785344
