 	e	che	cucino	</S>
c	0.720966673	0.1081160961	0.08184995477	0.0890672773626
e	0.552948449667	0.240550576367	0.0788469907033	0.127653932183
p	0.364282850556	0.401132807456	0.0913742177011	0.143210021479
u	0.258319079785	0.440093970485	0.156740572434	0.144846318826
m	0.169813121795	0.497830770828	0.197064529211	0.135291524509
a	0.124202720465	0.439266659609	0.248822092137	0.18770852307
r	0.087408437355	0.294444098003	0.336538620712	0.281608872357
è	0.067993248185	0.225048649268	0.366532256237	0.340425841919
o	0.0491898596283	0.159231101223	0.413688758746	0.377890305106
</S>	0.0360042349641	0.132242877112	0.457225753373	0.374527201553
